Scope
Manufacturer	Model
Flower Audio	com.flowerau.4Dyne

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
band1Solo	0	1	Toggle	ValueOutput
band1Bypass	0	1	Toggle	ValueOutput
band1InputGain	0	4194304	Value	ValueOutput
band1MakeupGain	0	4194304	Value	ValueOutput
band1OutputLevel	0	4194304	Value	ValueOutput
band1DryWet	0	4194304	Value	ValueOutput
band1Peak	0	1	Toggle	ValueOutput
band1LookAhead	0	1	Toggle	ValueOutput
band1CompThreshold	0	4194304	Value	ValueOutput
band1LimiterThreshold	0	4194304	Value	ValueOutput
band1GateThreshold	0	4194304	Value	ValueOutput
band1CompOn	0	1	Toggle	ValueOutput
band1LimiterOn	0	1	Toggle	ValueOutput
band1GateOn	0	1	Toggle	ValueOutput
band1CompSoftKneeOn	0	1	Toggle	ValueOutput
band1LimiterSoftKneeOn	0	1	Toggle	ValueOutput
band1GateSoftKneeOn	0	1	Toggle	ValueOutput
band1GateToDisplayOn	0	1	Toggle	ValueOutput
band1CompRatio	0	4194304	Value	ValueOutput
band1LimiterRatio	0	4194304	Value	ValueOutput
band1GateRatio	0	4194304	Value	ValueOutput
band1CompAttack	0	149	Value	ValueOutput
band1LimiterAttack	0	149	Value	ValueOutput
band1GateAttack	0	149	Value	ValueOutput
band1CompRelease	0	249	Value	ValueOutput
band1LimiterRelease	0	249	Value	ValueOutput
band1GateRelease	0	249	Value	ValueOutput
band2Solo	0	1	Toggle	ValueOutput
band2Bypass	0	1	Toggle	ValueOutput
band2InputGain	0	4194304	Value	ValueOutput
band2MakeupGain	0	4194304	Value	ValueOutput
band2OutputLevel	0	4194304	Value	ValueOutput
band2DryWet	0	4194304	Value	ValueOutput
band2Peak	0	1	Toggle	ValueOutput
band2LookAhead	0	1	Toggle	ValueOutput
band2CompThreshold	0	4194304	Value	ValueOutput
band2LimiterThreshold	0	4194304	Value	ValueOutput
band2GateThreshold	0	4194304	Value	ValueOutput
band2CompOn	0	1	Toggle	ValueOutput
band2LimiterOn	0	1	Toggle	ValueOutput
band2GateOn	0	1	Toggle	ValueOutput
band2CompSoftKneeOn	0	1	Toggle	ValueOutput
band2LimiterSoftKneeOn	0	1	Toggle	ValueOutput
band2GateSoftKneeOn	0	1	Toggle	ValueOutput
band2GateToDisplayOn	0	1	Toggle	ValueOutput
band2CompRatio	0	4194304	Value	ValueOutput
band2LimiterRatio	0	4194304	Value	ValueOutput
