Scope
Manufacturer	Model
Propellerheads	Alligator

Remotable	Min	Max	Input type	Output type
Pattern Enable	0	1	Toggle	ValueOutput
Shift	0	32	Value	ValueOutput
Resolution	0	4	Value	ValueOutput
Pattern	0	63	Value	ValueOutput
Shuffle	0	1	Toggle	ValueOutput
Gate 1 Trig	0	1	Hold	ValueOutput
Gate 2 Trig	0	1	Hold	ValueOutput
Gate 3 Trig	0	1	Hold	ValueOutput
Amp Env Attack	0	127	Value	ValueOutput
Amp Env Decay	0	127	Value	ValueOutput
Amp Env Release	0	127	Value	ValueOutput
High Pass Filter On	0	1	Toggle	ValueOutput
High Pass Frequency	0	127	Value	ValueOutput
High Pass Resonance	0	127	Value	ValueOutput
High Pass Env Amount	-64	63	Value	ValueOutput
High Pass LFO Amount	-64	63	Value	ValueOutput
Band Pass Filter On	0	1	Toggle	ValueOutput
Band Pass Frequency	0	127	Value	ValueOutput
Band Pass Resonance	0	127	Value	ValueOutput
Band Pass Env Amount	-64	63	Value	ValueOutput
Band Pass LFO Amount	-64	63	Value	ValueOutput
Low Pass Filter On	0	1	Toggle	ValueOutput
Low Pass Frequency	0	127	Value	ValueOutput
Low Pass Resonance	0	127	Value	ValueOutput
Low Pass Env Amount	-64	63	Value	ValueOutput
Low Pass LFO Amount	-64	63	Value	ValueOutput
Filter Env Attack	0	127	Value	ValueOutput
Filter Env Decay	0	127	Value	ValueOutput
Filter Env Release	0	127	Value	ValueOutput
LFO Freq	0	127	Value	ValueOutput
LFO Waveform	0	8	Value	ValueOutput
LFOSync	0	1	Toggle	ValueOutput
High Pass Drive Amount	0	127	Value	ValueOutput
High Pass Phaser Amount	0	127	Value	ValueOutput
High Pass Delay Amount	0	127	Value	ValueOutput
Band Pass Drive Amount	0	127	Value	ValueOutput
Band Pass Phaser Amount	0	127	Value	ValueOutput
Band Pass Delay Amount	0	127	Value	ValueOutput
Low Pass Drive Amount	0	127	Value	ValueOutput
Low Pass Phaser Amount	0	127	Value	ValueOutput
Low Pass Delay Amount	0	127	Value	ValueOutput
Delay Time	0	127	Value	ValueOutput
Delay Feedback	0	127	Value	ValueOutput
DelaySync	0	1	Toggle	ValueOutput
Delay Pan	-64	63	Value	ValueOutput
Phaser Rate	0	127	Value	ValueOutput
Phaser Feedback	0	127	Value	ValueOutput
High Pass Volume	0	127	Value	ValueOutput
High Pass Pan	-64	63	Value	ValueOutput
Band Pass Volume	0	127	Value	ValueOutput
Band Pass Pan	-64	63	Value	ValueOutput
Low Pass Volume	0	127	Value	ValueOutput
Low Pass Pan	-64	63	Value	ValueOutput
Dry Volume	0	127	Value	ValueOutput
Dry Pan	-64	63	Value	ValueOutput
Ducking	0	127	Value	ValueOutput
Master Volume	0	127	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Gate 3 Open	0	1	-	ValueOutput
Input Peak Meter	0	3	-	ValueOutput
Gate 2 Open	0	1	-	ValueOutput
Gate 1 Open	0	1	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
