Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Audiomatic

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Preset	0	15	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Transform	0	4194304	Value	ValueOutput
Dry Wet	0	4194304	Value	ValueOutput
Input Peak Meter	0	4194304	-	ValueOutput
Screen	0	102	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
