Scope
Manufacturer	Model
kiloHearts	com.kilohearts.Bitcrush

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Rate	0	4194304	Value	ValueOutput
Quantize	0	4194304	Value	ValueOutput
Bits	0	4194304	Value	ValueOutput
Dither	0	4194304	Value	ValueOutput
ADC Quality	0	4194304	Value	ValueOutput
DAC Quality	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
