Scope
Manufacturer	Model
Peff	com.peff.Buffre

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Trigger	0	1	Toggle	ValueOutput
Trigger Length	0	4	Value	ValueOutput
Play Mode	0	3	Value	ValueOutput
Reverse	0	1	Toggle	ValueOutput
Triplets	0	1	Toggle	ValueOutput
OneShot	0	1	Toggle	ValueOutput
Release	0	4194304	Value	ValueOutput
Random	0	4194304	Value	ValueOutput
Link Random	0	1	Toggle	ValueOutput
Loop On	0	1	Toggle	ValueOutput
Reset Position	0	1	Toggle	ValueOutput
Position Advance Quarter	0	1	Toggle	ValueOutput
Position Backward Quarter	0	1	Toggle	ValueOutput
Pitch	0	4194304	Value	ValueOutput
PitchSteps	0	4194304	Value	ValueOutput
Pitch Snap	0	1	Toggle	ValueOutput
Gate Enable	0	1	Toggle	ValueOutput
Gate Start	0	4194304	Value	ValueOutput
Gate Length	0	4194304	Value	ValueOutput
Aux 1	0	4194304	Value	ValueOutput
Aux 2	0	4194304	Value	ValueOutput
Aux 3	0	4194304	Value	ValueOutput
Aux1 On	0	1	Toggle	ValueOutput
Aux2 On	0	1	Toggle	ValueOutput
Aux3 On	0	1	Toggle	ValueOutput
Volume	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
