Scope
Manufacturer	Model
kiloHearts	com.kilohearts.Delay

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Delay Time (ms)	0	4194304	Value	ValueOutput
Delay Time (steps)	0	63	Value	ValueOutput
Delay Unit	0	7	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Duck	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Ping-Pong	0	1	Toggle	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
