Scope
Manufacturer	Model
Kuassa	com.kuassa.EVEAT4

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Low Cut Freq	0	4	Value	ValueOutput
Low Freq	0	4	Value	ValueOutput
Low Gain	0	4194304	Value	ValueOutput
Mid Freq	0	6	Value	ValueOutput
Mid Q	0	1	Toggle	ValueOutput
Mid Gain	0	4194304	Value	ValueOutput
High Freq	0	3	Value	ValueOutput
High Gain	0	4194304	Value	ValueOutput
High Cut Freq	0	5	Value	ValueOutput
Phase On / Off	0	1	Toggle	ValueOutput
Output Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
