Scope
Manufacturer	Model
Kuassa	com.kuassa.EfektorGQ3607

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
On / Bypass	0	1	Toggle	ValueOutput
Equalizer Type	0	2	Value	ValueOutput
Freq Level 1	0	4194304	Value	ValueOutput
Freq Level 2	0	4194304	Value	ValueOutput
Freq Level 3	0	4194304	Value	ValueOutput
Freq Level 4	0	4194304	Value	ValueOutput
Freq Level 5	0	4194304	Value	ValueOutput
Freq Level 6	0	4194304	Value	ValueOutput
Freq Level 7	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
