Scope
Manufacturer	Model
McDSP	com.mcdsp.FRGEEE

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Low Gain	0	4194304	Value	ValueOutput
Low Freq	0	4194304	Value	ValueOutput
Low Mid Gain	0	4194304	Value	ValueOutput
Low Mid Freq	0	4194304	Value	ValueOutput
High Mid Gain	0	4194304	Value	ValueOutput
High Mid Freq	0	4194304	Value	ValueOutput
High Gain	0	4194304	Value	ValueOutput
High Freq	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
