Scope
Manufacturer	Model
Sugar Bytes	com.sugarbytes.FilterPattern

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
pattern	0	25	Value	ValueOutput
resonance	0	4194304	Value	ValueOutput
sweepspeedpingpong	0	4194304	Value	ValueOutput
sweepspeedrepeat	0	4194304	Value	ValueOutput
sweepspeedsynced	0	4194304	Value	ValueOutput
sweepspeedsyncedx	0	4194304	Value	ValueOutput
sweeprange	0	4194304	Value	ValueOutput
drywet	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
