Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.Fritz

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Emit Rate Free	0	4194304	Value	ValueOutput
Emit Rate Sync	0	30	Value	ValueOutput
Emit Tempo Sync	0	1	Toggle	ValueOutput
Emit Length Scale	0	4194304	Value	ValueOutput
Emit Length Free	0	4194304	Value	ValueOutput
Emit Rate Length Link	0	1	Toggle	ValueOutput
Emit Gate	0	1	Toggle	ValueOutput
Emit Jitter	0	4194304	Value	ValueOutput
Delay Tempo Sync	0	1	Toggle	ValueOutput
Delay Time Free	0	4194304	Value	ValueOutput
Delay Time Sync	0	20	Value	ValueOutput
Delay Scale	0	4194304	Value	ValueOutput
Delay Spray	0	4194304	Value	ValueOutput
Pitch Semitone	0	48	Value	ValueOutput
Pitch Reverse	0	4194304	Value	ValueOutput
Pitch Probability M 12	0	4194304	Value	ValueOutput
Pitch Probability M 11	0	4194304	Value	ValueOutput
Pitch Probability M 10	0	4194304	Value	ValueOutput
Pitch Probability M 9	0	4194304	Value	ValueOutput
Pitch Probability M 8	0	4194304	Value	ValueOutput
Pitch Probability M 7	0	4194304	Value	ValueOutput
Pitch Probability M 6	0	4194304	Value	ValueOutput
Pitch Probability M 5	0	4194304	Value	ValueOutput
Pitch Probability M 4	0	4194304	Value	ValueOutput
Pitch Probability M 3	0	4194304	Value	ValueOutput
Pitch Probability M 2	0	4194304	Value	ValueOutput
Pitch Probability M 1	0	4194304	Value	ValueOutput
Pitch Probability 0	0	4194304	Value	ValueOutput
Pitch Probability P 1	0	4194304	Value	ValueOutput
Pitch Probability P 2	0	4194304	Value	ValueOutput
Pitch Probability P 3	0	4194304	Value	ValueOutput
Pitch Probability P 4	0	4194304	Value	ValueOutput
Pitch Probability P 5	0	4194304	Value	ValueOutput
Pitch Probability P 6	0	4194304	Value	ValueOutput
Pitch Probability P 7	0	4194304	Value	ValueOutput
Pitch Probability P 8	0	4194304	Value	ValueOutput
Pitch Probability P 9	0	4194304	Value	ValueOutput
Pitch Probability P 10	0	4194304	Value	ValueOutput
Pitch Probability P 11	0	4194304	Value	ValueOutput
Pitch Probability P 12	0	4194304	Value	ValueOutput
Grain Shape	0	4194304	Value	ValueOutput
Grain Skew	0	4194304	Value	ValueOutput
Grain Level	0	4194304	Value	ValueOutput
Grain Pan	0	4194304	Value	ValueOutput
Mod Frequency	0	4194304	Value	ValueOutput
Mod Fm Amount	0	4194304	Value	ValueOutput
Mod Am Amount	0	4194304	Value	ValueOutput
Noise Phase Stereo	0	4194304	Value	ValueOutput
Noise To Emit Rate	0	4194304	Value	ValueOutput
Noise To Emit Length	0	4194304	Value	ValueOutput
Noise To Emit Gate	0	4194304	Value	ValueOutput
Noise To Emit Jitter	0	4194304	Value	ValueOutput
Noise To Input Freeze	0	4194304	Value	ValueOutput
Noise To Delay Scale	0	4194304	Value	ValueOutput
Noise To Delay Spray	0	4194304	Value	ValueOutput
Noise To Pitch Semitone	0	4194304	Value	ValueOutput
Noise To Pitch Reverse	0	4194304	Value	ValueOutput
Noise To Grain Shape	0	4194304	Value	ValueOutput
Noise To Grain Skew	0	4194304	Value	ValueOutput
Noise To Grain Spread	0	4194304	Value	ValueOutput
