Scope
Manufacturer	Model
Unfiltered Audio	com.unfilteredaudio.G8Gate

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
PreGain	0	4194304	Value	ValueOutput
PostGain	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Hold	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Hysteresis	0	4194304	Value	ValueOutput
Reduction	0	4194304	Value	ValueOutput
Lookahead	0	4194304	Value	ValueOutput
Flip	0	1	Toggle	ValueOutput
rmsPeak	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
