Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.HarmBode

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Input Level Correction	0	4194304	Value	ValueOutput
Output Level Correction	0	4194304	Value	ValueOutput
Blend	0	4194304	Value	ValueOutput
Soft Bypass	0	1	Toggle	ValueOutput
Mode	0	3	Value	ValueOutput
Scale	0	4194304	Value	ValueOutput
Shift	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Mixture	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
