Scope
Manufacturer	Model
Kuassa	com.kuassa.Kratos2Maximizer

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Maximize	0	4194304	Value	ValueOutput
Texture	0	4194304	Value	ValueOutput
Knee	0	4194304	Value	ValueOutput
Attack Type	0	1	Toggle	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release Type	0	1	Toggle	ValueOutput
Release	0	4194304	Value	ValueOutput
Ceiling	0	4194304	Value	ValueOutput
Dither On/Off	0	1	Toggle	ValueOutput
Dither Type	0	2	Value	ValueOutput
Dither Bit Depth	0	2	Value	ValueOutput
Oversampling	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
