Scope
Manufacturer	Model
Zvork	fr.zvork.LeSpace

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Echo 1 Decay Time Offset 1	0	4194304	Value	ValueOutput
Echo 1 Feedback Destination 1	0	5	Value	ValueOutput
Echo 1 Level 1	0	4194304	Value	ValueOutput
Echo 1 Pan 1	0	4194304	Value	ValueOutput
Echo 1 Input 1	0	3	Value	ValueOutput
Echo 1 Delay Length 1	0	15	Value	ValueOutput
Echo 1 Delay Length 1 - Fine	0	4194304	Value	ValueOutput
Echo 1 Diffusion Offset 1	0	4194304	Value	ValueOutput
Echo 1 Tone Offset 1	0	4194304	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 1	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 2	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 3	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 4	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 5	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 6	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 7	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 8	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 9	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 10	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 11	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 12	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 13	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 14	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 15	0	2	Value	ValueOutput
Echo 1 Pre-Delay 1 Tap 16	0	2	Value	ValueOutput
Echo 2 Decay Time Offset 2	0	4194304	Value	ValueOutput
Echo 2 Feedback Destination 2	0	5	Value	ValueOutput
Echo 2 Level 2	0	4194304	Value	ValueOutput
Echo 2 Pan 2	0	4194304	Value	ValueOutput
Echo 2 Input 2	0	3	Value	ValueOutput
Echo 2 Delay Length 2	0	15	Value	ValueOutput
Echo 2 Delay Length 2 - Fine	0	4194304	Value	ValueOutput
Echo 2 Diffusion Offset 2	0	4194304	Value	ValueOutput
Echo 2 Tone Offset 2	0	4194304	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 1	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 2	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 3	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 4	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 5	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 6	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 7	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 8	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 9	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 10	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 11	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 12	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 13	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 14	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 15	0	2	Value	ValueOutput
Echo 2 Pre-Delay 2 Tap 16	0	2	Value	ValueOutput
Echo 3 Decay Time Offset 3	0	4194304	Value	ValueOutput
Echo 3 Feedback Destination 3	0	5	Value	ValueOutput
Echo 3 Level 3	0	4194304	Value	ValueOutput
Echo 3 Pan 3	0	4194304	Value	ValueOutput
Echo 3 Input 3	0	3	Value	ValueOutput
Echo 3 Delay Length 3	0	15	Value	ValueOutput
Echo 3 Delay Length 3 - Fine	0	4194304	Value	ValueOutput
Echo 3 Diffusion Offset 3	0	4194304	Value	ValueOutput
Echo 3 Tone Offset 3	0	4194304	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 1	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 2	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 3	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 4	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 5	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 6	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 7	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 8	0	2	Value	ValueOutput
Echo 3 Pre-Delay 3 Tap 9	0	2	Value	ValueOutput
