Scope
Manufacturer	Model
Propellerheads	MClass Compressor

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Input Gain	0	127	Value	ValueOutput
Threshold	0	127	Value	ValueOutput
Soft Knee	0	1	Toggle	ValueOutput
Ratio	0	127	Value	ValueOutput
Sidechain Solo	0	1	Toggle	ValueOutput
Attack	0	127	Value	ValueOutput
Release	0	127	Value	ValueOutput
Adapt	0	1	Toggle	ValueOutput
Output Gain	0	127	Value	ValueOutput
Peak Meter	0	20	-	ValueOutput
Gain Meter	0	11	-	ValueOutput
Device Name	0	0	-	TextOutput
Sidechain Active	0	1	-	ValueOutput
