Scope
Manufacturer	Model
Propellerheads	MClass Maximizer

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Input Gain	0	127	Value	ValueOutput
Limiter Enable	0	1	Toggle	ValueOutput
Look Ahead Enable	0	1	Toggle	ValueOutput
Attack Speed	0	2	Value	ValueOutput
Release Speed	0	2	Value	ValueOutput
Output Gain	0	127	Value	ValueOutput
Soft Clip Enable	0	1	Toggle	ValueOutput
Soft Clip Amount	0	127	Value	ValueOutput
Output Level Meter Mode	0	1	Toggle	ValueOutput
Peak Meter	0	20	-	ValueOutput
Gain Meter	0	11	-	ValueOutput
Output Level Left	0	25	-	ValueOutput
Output Level Right	0	25	-	ValueOutput
Device Name	0	0	-	TextOutput
