Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.MasterCompressor

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Ratio	0	2	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Release	0	4	Value	ValueOutput
Make-Up Gain	0	4194304	Value	ValueOutput
Sidechain	0	1	Toggle	ValueOutput
Attack	0	5	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Comp Meter	0	4194304	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
