Scope
Manufacturer	Model
Forgotten Clank Studios	com.forgottenclankstudios.MClipper

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Distortion Type	0	1	Toggle	ValueOutput
Oversampling Quality	0	2	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Makeup Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
