Scope
Manufacturer	Model
Red Rock Sound	ru.redrocksound.500series2D

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Colorizer-1 Active	0	1	Toggle	ValueOutput
Colorizer-1 Gain	0	4194304	Value	ValueOutput
Colorizer-2 Active	0	1	Toggle	ValueOutput
Colorizer-2 Gain	0	4194304	Value	ValueOutput
Colorizer-3 Active	0	1	Toggle	ValueOutput
Colorizer-3 Gain	0	4194304	Value	ValueOutput
Colorizer-4 Active	0	1	Toggle	ValueOutput
Colorizer-4 Gain	0	4194304	Value	ValueOutput
Colorizer-5 Active	0	1	Toggle	ValueOutput
Colorizer-5 Gain	0	4194304	Value	ValueOutput
DeEsser-1 Active	0	1	Toggle	ValueOutput
DeEsser-1 Mode	0	1	Toggle	ValueOutput
DeEsser-1 Ratio	0	4194304	Value	ValueOutput
DeEsser-1 Intensity	0	4194304	Value	ValueOutput
DeEsser-1 HPF	0	4194304	Value	ValueOutput
DeEsser-1 Range	0	4194304	Value	ValueOutput
DeEsser-2 Active	0	1	Toggle	ValueOutput
DeEsser-2 Mode	0	1	Toggle	ValueOutput
DeEsser-2 Ratio	0	4194304	Value	ValueOutput
DeEsser-2 Intensity	0	4194304	Value	ValueOutput
DeEsser-2 HPF	0	4194304	Value	ValueOutput
DeEsser-2 Range	0	4194304	Value	ValueOutput
DeEsser-3 Active	0	1	Toggle	ValueOutput
DeEsser-3 Mode	0	1	Toggle	ValueOutput
DeEsser-3 Ratio	0	4194304	Value	ValueOutput
DeEsser-3 Intensity	0	4194304	Value	ValueOutput
DeEsser-3 HPF	0	4194304	Value	ValueOutput
DeEsser-3 Range	0	4194304	Value	ValueOutput
DeEsser-4 Active	0	1	Toggle	ValueOutput
DeEsser-4 Mode	0	1	Toggle	ValueOutput
DeEsser-4 Ratio	0	4194304	Value	ValueOutput
DeEsser-4 Intensity	0	4194304	Value	ValueOutput
DeEsser-4 HPF	0	4194304	Value	ValueOutput
DeEsser-4 Range	0	4194304	Value	ValueOutput
DeEsser-5 Active	0	1	Toggle	ValueOutput
DeEsser-5 Mode	0	1	Toggle	ValueOutput
DeEsser-5 Ratio	0	4194304	Value	ValueOutput
DeEsser-5 Intensity	0	4194304	Value	ValueOutput
DeEsser-5 HPF	0	4194304	Value	ValueOutput
DeEsser-5 Range	0	4194304	Value	ValueOutput
Compressor543-1 Active	0	1	Toggle	ValueOutput
Compressor543-1 Attack	0	4194304	Value	ValueOutput
Compressor543-1 Release	0	4194304	Value	ValueOutput
Compressor543-1 Ratio	0	4194304	Value	ValueOutput
Compressor543-1 Threshold	0	4194304	Value	ValueOutput
Compressor543-1 Makeup	0	4194304	Value	ValueOutput
Compressor543-1 Mix	0	4194304	Value	ValueOutput
Compressor543-1 Mode	0	1	Toggle	ValueOutput
Compressor543-2 Active	0	1	Toggle	ValueOutput
Compressor543-2 Attack	0	4194304	Value	ValueOutput
Compressor543-2 Release	0	4194304	Value	ValueOutput
Compressor543-2 Ratio	0	4194304	Value	ValueOutput
Compressor543-2 Threshold	0	4194304	Value	ValueOutput
Compressor543-2 Makeup	0	4194304	Value	ValueOutput
Compressor543-2 Mix	0	4194304	Value	ValueOutput
Compressor543-2 Mode	0	1	Toggle	ValueOutput
Compressor543-3 Active	0	1	Toggle	ValueOutput
Compressor543-3 Attack	0	4194304	Value	ValueOutput
Compressor543-3 Release	0	4194304	Value	ValueOutput
Compressor543-3 Ratio	0	4194304	Value	ValueOutput
Compressor543-3 Threshold	0	4194304	Value	ValueOutput
Compressor543-3 Makeup	0	4194304	Value	ValueOutput
Compressor543-3 Mix	0	4194304	Value	ValueOutput
Compressor543-3 Mode	0	1	Toggle	ValueOutput
Compressor543-4 Active	0	1	Toggle	ValueOutput
Compressor543-4 Attack	0	4194304	Value	ValueOutput
Compressor543-4 Release	0	4194304	Value	ValueOutput
Compressor543-4 Ratio	0	4194304	Value	ValueOutput
Compressor543-4 Threshold	0	4194304	Value	ValueOutput
Compressor543-4 Makeup	0	4194304	Value	ValueOutput
Compressor543-4 Mix	0	4194304	Value	ValueOutput
Compressor543-4 Mode	0	1	Toggle	ValueOutput
Compressor543-5 Active	0	1	Toggle	ValueOutput
Compressor543-5 Attack	0	4194304	Value	ValueOutput
Compressor543-5 Release	0	4194304	Value	ValueOutput
Compressor543-5 Ratio	0	4194304	Value	ValueOutput
Compressor543-5 Threshold	0	4194304	Value	ValueOutput
Compressor543-5 Makeup	0	4194304	Value	ValueOutput
Compressor543-5 Mix	0	4194304	Value	ValueOutput
Compressor543-5 Mode	0	1	Toggle	ValueOutput
ParametricEQ-1 Active	0	1	Toggle	ValueOutput
ParametricEQ-1 RockBand	0	5	Value	ValueOutput
ParametricEQ-1 RockGain	0	4194304	Value	ValueOutput
ParametricEQ-1 2500Hz	0	4194304	Value	ValueOutput
ParametricEQ-1 650Hz	0	4194304	Value	ValueOutput
ParametricEQ-1 160Hz	0	4194304	Value	ValueOutput
ParametricEQ-2 Active	0	1	Toggle	ValueOutput
ParametricEQ-2 RockBand	0	5	Value	ValueOutput
ParametricEQ-2 RockGain	0	4194304	Value	ValueOutput
ParametricEQ-2 2500Hz	0	4194304	Value	ValueOutput
ParametricEQ-2 650Hz	0	4194304	Value	ValueOutput
ParametricEQ-2 160Hz	0	4194304	Value	ValueOutput
ParametricEQ-3 Active	0	1	Toggle	ValueOutput
ParametricEQ-3 RockBand	0	5	Value	ValueOutput
ParametricEQ-3 RockGain	0	4194304	Value	ValueOutput
ParametricEQ-3 2500Hz	0	4194304	Value	ValueOutput
ParametricEQ-3 650Hz	0	4194304	Value	ValueOutput
ParametricEQ-3 160Hz	0	4194304	Value	ValueOutput
ParametricEQ-4 Active	0	1	Toggle	ValueOutput
ParametricEQ-4 RockBand	0	5	Value	ValueOutput
ParametricEQ-4 RockGain	0	4194304	Value	ValueOutput
ParametricEQ-4 2500Hz	0	4194304	Value	ValueOutput
ParametricEQ-4 650Hz	0	4194304	Value	ValueOutput
ParametricEQ-4 160Hz	0	4194304	Value	ValueOutput
