Scope
Manufacturer	Model
BASSGRID	com.bassgrid.Mutation_Collider

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Out_Level	0	4194304	Value	ValueOutput
Input_1_Level	0	4194304	Value	ValueOutput
Input_2_Level	0	4194304	Value	ValueOutput
Input_3_Level	0	4194304	Value	ValueOutput
Input_4_Level	0	4194304	Value	ValueOutput
Coordinate_X	0	4194304	Value	ValueOutput
Coordinate_Y	0	4194304	Value	ValueOutput
Source_A_Gain	0	4194304	Value	ValueOutput
Source_A_Pan	0	4194304	Value	ValueOutput
Lock_Volume_A	0	1	Toggle	ValueOutput
Stereo_Width_A	0	4194304	Value	ValueOutput
Mute_Source_A	0	1	Toggle	ValueOutput
Solo_Source_A	0	1	Toggle	ValueOutput
Source_B_Gain	0	4194304	Value	ValueOutput
Source_B_Pan	0	4194304	Value	ValueOutput
Lock_Volume_B	0	1	Toggle	ValueOutput
Stereo_Width_B	0	4194304	Value	ValueOutput
Mute_Source_B	0	1	Toggle	ValueOutput
Solo_Source_B	0	1	Toggle	ValueOutput
Source_C_Gain	0	4194304	Value	ValueOutput
Source_C_Pan	0	4194304	Value	ValueOutput
Lock_Volume_C	0	1	Toggle	ValueOutput
Stereo_Width_C	0	4194304	Value	ValueOutput
Mute_Source_C	0	1	Toggle	ValueOutput
Solo_Source_C	0	1	Toggle	ValueOutput
Source_D_Gain	0	4194304	Value	ValueOutput
Source_D_Pan	0	4194304	Value	ValueOutput
Lock_Volume_D	0	1	Toggle	ValueOutput
Stereo_Width_D	0	4194304	Value	ValueOutput
Mute_Source_D	0	1	Toggle	ValueOutput
Solo_Source_D	0	1	Toggle	ValueOutput
Low_X_Point_A	0	4194304	Value	ValueOutput
High_X_Point_A	0	4194304	Value	ValueOutput
Kill_Low_A	0	1	Toggle	ValueOutput
Kill_Mid_A	0	1	Toggle	ValueOutput
Kill_High_A	0	1	Toggle	ValueOutput
Low_Level_A	0	4194304	Value	ValueOutput
Mid_Level_A	0	4194304	Value	ValueOutput
High_Level_A	0	4194304	Value	ValueOutput
Low_X_Point_B	0	4194304	Value	ValueOutput
High_X_Point_B	0	4194304	Value	ValueOutput
Kill_Low_B	0	1	Toggle	ValueOutput
Kill_Mid_B	0	1	Toggle	ValueOutput
Kill_High_B	0	1	Toggle	ValueOutput
Low_Level_B	0	4194304	Value	ValueOutput
Mid_Level_B	0	4194304	Value	ValueOutput
High_Level_B	0	4194304	Value	ValueOutput
