Scope
Manufacturer	Model
Forgotten Clank Studios	com.forgottenclankstudios.OmegaTrimmer

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Polarity Stereo	0	1	Toggle	ValueOutput
Polarity L	0	1	Toggle	ValueOutput
Polarity R	0	1	Toggle	ValueOutput
Mono	0	1	Toggle	ValueOutput
Gain	0	4194304	Value	ValueOutput
LP Toggle	0	1	Toggle	ValueOutput
HP Toggle	0	1	Toggle	ValueOutput
LP Cutoff	0	4194304	Value	ValueOutput
HP Cutoff	0	4194304	Value	ValueOutput
LP Slope	0	8	Value	ValueOutput
HP Slope	0	8	Value	ValueOutput
Ignore Bypass	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
