Scope
Manufacturer	Model
Red Rock Sound	ru.redrocksound.RE202

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Gain In	0	4194304	Value	ValueOutput
Gain Out	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Timbre	0	4194304	Value	ValueOutput
Tune	0	4194304	Value	ValueOutput
Ceiling	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Ceiling On/Off	0	1	Toggle	ValueOutput
Listen On/Off	0	1	Toggle	ValueOutput
Active	0	1	Toggle	ValueOutput
Phase	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
