Scope
Manufacturer	Model
kiloHearts	com.kilohearts.Reverb

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Dampen	0	4194304	Value	ValueOutput
Size	0	4194304	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Early	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
