Scope
Manufacturer	Model
Skrock Music	se.skrockmusic.SMFXDSAT

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Filter Routing	0	1	Toggle	ValueOutput
HP 1 Frequency	0	4194304	Value	ValueOutput
HP 2 Frequency	0	4194304	Value	ValueOutput
LP 1 Frequency	0	4194304	Value	ValueOutput
LP 2 Frequency	0	4194304	Value	ValueOutput
HP 1 Resonance	0	4194304	Value	ValueOutput
HP 2 Resonance	0	4194304	Value	ValueOutput
LP 1 Resonance	0	4194304	Value	ValueOutput
LP 2 Resonance	0	4194304	Value	ValueOutput
Filter Shift	0	4194304	Value	ValueOutput
Output Width	0	4194304	Value	ValueOutput
Dry/Wet	0	4194304	Value	ValueOutput
Filter Model	0	2	Value	ValueOutput
Saturation	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Breath Control	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
