Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.ReasonAmp

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Amp Switch	0	4	Value	ValueOutput
Cab Switch	0	4	Value	ValueOutput
Gate	0	4194304	Value	ValueOutput
Boost	0	1	Toggle	ValueOutput
Gain	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Mid	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Poweramp Gain	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
