Scope
Manufacturer	Model
Jiggery Pokery	com.jiggerypokery.Steerpike

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Delay Mode	0	8	Value	ValueOutput
Delay Line Gate	0	1	Toggle	ValueOutput
Clock Rate	0	4194304	Value	ValueOutput
BBD Enable	0	1	Toggle	ValueOutput
NA	0	4194304	Value	ValueOutput
Slow LFO Rate	0	4194304	Value	ValueOutput
Fast LFO Rate	0	4194304	Value	ValueOutput
LFO Phase Offset	0	1	Toggle	ValueOutput
Modulation Shape	0	4194304	Value	ValueOutput
LFO 2 Tempo Sync	0	1	Toggle	ValueOutput
LFO 2 Hz Rate	0	4194304	Value	ValueOutput
LFO 2 Sync Rate	0	33	Value	ValueOutput
Modulation 2 Shape	0	4194304	Value	ValueOutput
LFO 3 Rate	0	4194304	Value	ValueOutput
Delay Mod Source	0	1	Toggle	ValueOutput
Filter Mod Source	0	1	Toggle	ValueOutput
Reverb Mod Source	0	1	Toggle	ValueOutput
BBD1 Enable	0	1	Toggle	ValueOutput
BBD1 Reverse Enable	0	1	Toggle	ValueOutput
BBD1 Delay Time Mode	0	3	Value	ValueOutput
BBD1 Stages	0	4194304	Value	ValueOutput
BBD1 Time	0	4194304	Value	ValueOutput
BBD1 Sync Duration	0	4194304	Value	ValueOutput
BBD1 Sync Subdivision	0	4194304	Value	ValueOutput
BBD1 Level	0	4194304	Value	ValueOutput
BBD1 Pan	0	4194304	Value	ValueOutput
BBD1 Feedback	0	4194304	Value	ValueOutput
BBD1 THD	0	4194304	Value	ValueOutput
BBD1 Tap Level In	0	4194304	Value	ValueOutput
BBD1 Breakout Level In	0	4194304	Value	ValueOutput
BBD1 Modulation Depth	0	4194304	Value	ValueOutput
BBD1 Envelope	0	4194304	Value	ValueOutput
BBD1 FX Filter Enable	0	1	Toggle	ValueOutput
BBD1 EQ Enable	0	1	Toggle	ValueOutput
BBD2 Enable	0	1	Toggle	ValueOutput
BBD2 Reverse Enable	0	1	Toggle	ValueOutput
BBD2 Delay Time Mode	0	3	Value	ValueOutput
BBD2 Stages	0	4194304	Value	ValueOutput
BBD2 Time	0	4194304	Value	ValueOutput
BBD2 Sync Duration	0	4194304	Value	ValueOutput
BBD2 Sync Subdivision	0	4194304	Value	ValueOutput
BBD2 Level	0	4194304	Value	ValueOutput
BBD2 Pan	0	4194304	Value	ValueOutput
BBD2 Feedback	0	4194304	Value	ValueOutput
BBD2 THD	0	4194304	Value	ValueOutput
BBD2 Tap Level In	0	4194304	Value	ValueOutput
BBD2 Breakout Level In	0	4194304	Value	ValueOutput
BBD2 Modulation Depth	0	4194304	Value	ValueOutput
BBD2 Envelope	0	4194304	Value	ValueOutput
BBD2 FX Filter Enable	0	1	Toggle	ValueOutput
BBD2 EQ Enable	0	1	Toggle	ValueOutput
BBD3 Enable	0	1	Toggle	ValueOutput
BBD3 Reverse Enable	0	1	Toggle	ValueOutput
BBD3 Delay Time Mode	0	3	Value	ValueOutput
BBD3 Stages	0	4194304	Value	ValueOutput
BBD3 Time	0	4194304	Value	ValueOutput
BBD3 Sync Duration	0	4194304	Value	ValueOutput
BBD3 Sync Subdivision	0	4194304	Value	ValueOutput
BBD3 Level	0	4194304	Value	ValueOutput
BBD3 Pan	0	4194304	Value	ValueOutput
BBD3 Feedback	0	4194304	Value	ValueOutput
BBD3 THD	0	4194304	Value	ValueOutput
BBD3 Tap Level In	0	4194304	Value	ValueOutput
BBD3 Breakout Level In	0	4194304	Value	ValueOutput
BBD3 Modulation Depth	0	4194304	Value	ValueOutput
BBD3 Envelope	0	4194304	Value	ValueOutput
BBD3 FX Filter Enable	0	1	Toggle	ValueOutput
BBD3 EQ Enable	0	1	Toggle	ValueOutput
BBD4 Enable	0	1	Toggle	ValueOutput
BBD4 Reverse Enable	0	1	Toggle	ValueOutput
BBD4 Delay Time Mode	0	3	Value	ValueOutput
BBD4 Stages	0	4194304	Value	ValueOutput
BBD4 Time	0	4194304	Value	ValueOutput
BBD4 Sync Duration	0	4194304	Value	ValueOutput
BBD4 Sync Subdivision	0	4194304	Value	ValueOutput
BBD4 Level	0	4194304	Value	ValueOutput
BBD4 Pan	0	4194304	Value	ValueOutput
BBD4 Feedback	0	4194304	Value	ValueOutput
BBD4 THD	0	4194304	Value	ValueOutput
BBD4 Tap Level In	0	4194304	Value	ValueOutput
BBD4 Breakout Level In	0	4194304	Value	ValueOutput
BBD4 Modulation Depth	0	4194304	Value	ValueOutput
BBD4 Envelope	0	4194304	Value	ValueOutput
BBD4 FX Filter Enable	0	1	Toggle	ValueOutput
BBD4 EQ Enable	0	1	Toggle	ValueOutput
BBD5 Enable	0	1	Toggle	ValueOutput
BBD5 Reverse Enable	0	1	Toggle	ValueOutput
BBD5 Delay Time Mode	0	3	Value	ValueOutput
BBD5 Stages	0	4194304	Value	ValueOutput
BBD5 Time	0	4194304	Value	ValueOutput
BBD5 Sync Duration	0	4194304	Value	ValueOutput
BBD5 Sync Subdivision	0	4194304	Value	ValueOutput
BBD5 Level	0	4194304	Value	ValueOutput
BBD5 Pan	0	4194304	Value	ValueOutput
BBD5 Feedback	0	4194304	Value	ValueOutput
BBD5 THD	0	4194304	Value	ValueOutput
BBD5 Tap Level In	0	4194304	Value	ValueOutput
BBD5 Breakout Level In	0	4194304	Value	ValueOutput
BBD5 Modulation Depth	0	4194304	Value	ValueOutput
BBD5 Envelope	0	4194304	Value	ValueOutput
