Scope
Manufacturer	Model
Synapse Audio Software	com.synapseAudioSoftware.SynapseFilter

Remotable	Min	Max	Input type	Output type
Drive	0	4194304	Value	ValueOutput
Filter Type	0	1	Toggle	ValueOutput
Filter Type List	0	2	Value	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
