Scope
Manufacturer	Model
Synapse Audio Software	com.synapseAudioSoftware.SynapseReverb1

Remotable	Min	Max	Input type	Output type
Reverb Time	0	4194304	Value	ValueOutput
Pre-Delay	0	4194304	Value	ValueOutput
HF-Damp	0	4194304	Value	ValueOutput
Low Cut	0	4194304	Value	ValueOutput
High Cut	0	4194304	Value	ValueOutput
Dry/Wet	0	4194304	Value	ValueOutput
Mod Switch Off/On	0	1	Toggle	ValueOutput
Mod Amount	0	4194304	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
