Scope
Manufacturer	Model
Synapse Audio Software	com.synapseAudioSoftware.SynapseNinety

Remotable	Min	Max	Input type	Output type
Mode	0	1	Toggle	ValueOutput
Mix	0	4194304	Value	ValueOutput
Sync	0	1	Toggle	ValueOutput
Rate	0	4194304	Value	ValueOutput
Rate (Sync)	0	26	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Color	0	4194304	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
