Scope
Manufacturer	Model
Synapse Audio Software	com.synapseAudioSoftware.SynapseRingMod

Remotable	Min	Max	Input type	Output type
Input Drive	0	4194304	Value	ValueOutput
Frequency Range	0	1	Toggle	ValueOutput
Modulator Frequency	0	4194304	Value	ValueOutput
Modulator waveform	0	1	Toggle	ValueOutput
Sidechain Solo	0	1	Toggle	ValueOutput
Output Mix	0	4194304	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
