Scope
Manufacturer	Model
BASSGRID	com.bassgrid.Terminal

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
EQ_Enabled	0	1	Toggle	ValueOutput
EQ_Low_Freq	0	4194304	Value	ValueOutput
EQ_Low_Gain	0	4194304	Value	ValueOutput
EQ_Low_Contour	0	4194304	Value	ValueOutput
EQ_Low_Mid_Freq	0	4194304	Value	ValueOutput
EQ_Low_Mid_Gain	0	4194304	Value	ValueOutput
EQ_Low_Mid_Width	0	4194304	Value	ValueOutput
EQ_High_Mid_Freq	0	4194304	Value	ValueOutput
EQ_High_Mid_Gain	0	4194304	Value	ValueOutput
EQ_High_Mid_Width	0	4194304	Value	ValueOutput
EQ_High_Freq	0	4194304	Value	ValueOutput
EQ_High_Gain	0	4194304	Value	ValueOutput
EQ_High_Contour	0	4194304	Value	ValueOutput
Filter_1_Enabled	0	1	Toggle	ValueOutput
Filter_1_Cutoff	0	4194304	Value	ValueOutput
Filter_1_Resonance	0	4194304	Value	ValueOutput
Filter_1_Mode	0	8	Value	ValueOutput
Filter_2_Enabled	0	1	Toggle	ValueOutput
Filter_2_After	0	1	Toggle	ValueOutput
Filter_2_Cutoff	0	4194304	Value	ValueOutput
Filter_2_Resonance	0	4194304	Value	ValueOutput
Filter_2_Mode	0	8	Value	ValueOutput
FX9_Enabled	0	1	Toggle	ValueOutput
FX9_Cutoff	0	4194304	Value	ValueOutput
FX9_Low_Resonance	0	4194304	Value	ValueOutput
FX9_Low_Reso_Track	0	4194304	Value	ValueOutput
FX9_High_Resonance	0	4194304	Value	ValueOutput
FX9_High_Reso_Track	0	4194304	Value	ValueOutput
FX9_Low_Freq	0	4194304	Value	ValueOutput
FX9_Low_Boost	0	4194304	Value	ValueOutput
FX9_High_Freq	0	4194304	Value	ValueOutput
FX9_High_Boost	0	4194304	Value	ValueOutput
Damager_Enabled	0	1	Toggle	ValueOutput
Damager_Drive	0	4194304	Value	ValueOutput
Damager_Rectify	0	4194304	Value	ValueOutput
Damager_Mode	0	1	Toggle	ValueOutput
Damager_Low_Cut	0	4194304	Value	ValueOutput
Damager_High_Cut	0	4194304	Value	ValueOutput
Damager_Dry_Wet	0	4194304	Value	ValueOutput
Saturation_Enabled	0	1	Toggle	ValueOutput
Saturation_Thresh	0	4194304	Value	ValueOutput
Saturation_Drive	0	4194304	Value	ValueOutput
Saturation_Low_Drive	0	4194304	Value	ValueOutput
Saturation_High_Drive	0	4194304	Value	ValueOutput
Saturation_Density	0	4194304	Value	ValueOutput
Saturation_High_Bypass	0	4194304	Value	ValueOutput
MRDR1_Enabled	0	1	Toggle	ValueOutput
MRDR1_Band_1_Power	0	1	Toggle	ValueOutput
MRDR1_Band_1_Drive	0	4194304	Value	ValueOutput
MRDR1_Band_1_Curve	0	4194304	Value	ValueOutput
MRDR1_Band_1_Cutoff	0	4194304	Value	ValueOutput
MRDR1_Band_1_Resonance	0	4194304	Value	ValueOutput
MRDR1_Band_1_Tilt	0	4194304	Value	ValueOutput
MRDR1_Band_1_Level	0	4194304	Value	ValueOutput
MRDR1_Band_1_Pan	0	4194304	Value	ValueOutput
MRDR1_Band_2_Power	0	1	Toggle	ValueOutput
MRDR1_Band_2_Drive	0	4194304	Value	ValueOutput
MRDR1_Band_2_Curve	0	4194304	Value	ValueOutput
MRDR1_Band_2_Cutoff	0	4194304	Value	ValueOutput
MRDR1_Band_2_Resonance	0	4194304	Value	ValueOutput
MRDR1_Band_2_Tilt	0	4194304	Value	ValueOutput
MRDR1_Band_2_Level	0	4194304	Value	ValueOutput
MRDR1_Band_2_Pan	0	4194304	Value	ValueOutput
MRDR1_Band_3_Power	0	1	Toggle	ValueOutput
MRDR1_Band_3_Drive	0	4194304	Value	ValueOutput
MRDR1_Band_3_Curve	0	4194304	Value	ValueOutput
MRDR1_Band_3_Cutoff	0	4194304	Value	ValueOutput
MRDR1_Band_3_Resonance	0	4194304	Value	ValueOutput
MRDR1_Band_3_Tilt	0	4194304	Value	ValueOutput
MRDR1_Band_3_Level	0	4194304	Value	ValueOutput
MRDR1_Band_3_Pan	0	4194304	Value	ValueOutput
MRDR1_Band_4_Power	0	1	Toggle	ValueOutput
MRDR1_Band_4_Drive	0	4194304	Value	ValueOutput
MRDR1_Band_4_Curve	0	4194304	Value	ValueOutput
MRDR1_Band_4_Cutoff	0	4194304	Value	ValueOutput
MRDR1_Band_4_Resonance	0	4194304	Value	ValueOutput
MRDR1_Band_4_Tilt	0	4194304	Value	ValueOutput
MRDR1_Band_4_Level	0	4194304	Value	ValueOutput
MRDR1_Band_4_Pan	0	4194304	Value	ValueOutput
MRDR1_Mix	0	4194304	Value	ValueOutput
MRDR1_Low_Bypass	0	4194304	Value	ValueOutput
MRDR1_High_Bypass	0	4194304	Value	ValueOutput
Flanger_Enabled	0	1	Toggle	ValueOutput
Flanger_Rate	0	4194304	Value	ValueOutput
Flanger_Depth	0	4194304	Value	ValueOutput
Flanger_Delay	0	4194304	Value	ValueOutput
Flanger_Feedback	0	4194304	Value	ValueOutput
Flanger_Phase	0	4194304	Value	ValueOutput
Flanger_Dry_Wet	0	4194304	Value	ValueOutput
Chorus_Enabled	0	1	Toggle	ValueOutput
Chorus_Rate	0	4194304	Value	ValueOutput
Chorus_Depth	0	4194304	Value	ValueOutput
Chorus_Delay	0	4194304	Value	ValueOutput
Chorus_Damping	0	4194304	Value	ValueOutput
Chorus_Voices	0	4194304	Value	ValueOutput
Chorus_Modulation	0	1	Toggle	ValueOutput
Chorus_Dry_Wet	0	4194304	Value	ValueOutput
Phaser_Enabled	0	1	Toggle	ValueOutput
Phaser_Rate	0	4194304	Value	ValueOutput
Phaser_Depth	0	4194304	Value	ValueOutput
Phaser_Feedback	0	4194304	Value	ValueOutput
Phaser_Invert_Feedback	0	1	Toggle	ValueOutput
Phaser_Poles	0	3	Value	ValueOutput
Phaser_Center	0	4194304	Value	ValueOutput
Phaser_Spread	0	4194304	Value	ValueOutput
Phaser_Dry_Wet	0	4194304	Value	ValueOutput
Freq_Shifter_Enabled	0	1	Toggle	ValueOutput
Freq_Shifter_Mode	0	3	Value	ValueOutput
Freq_Shifter_Balance	0	4194304	Value	ValueOutput
Freq_Shifter_Range	0	4194304	Value	ValueOutput
Freq_Shifter_Depth	0	4194304	Value	ValueOutput
Freq_Shifter_Feedback	0	4194304	Value	ValueOutput
Freq_Shifter_Mix	0	4194304	Value	ValueOutput
Comp_Enabled	0	1	Toggle	ValueOutput
Comp_Threshold	0	4194304	Value	ValueOutput
Comp_Ratio	0	4194304	Value	ValueOutput
Comp_Soft_Knee	0	4194304	Value	ValueOutput
Comp_Attack	0	4194304	Value	ValueOutput
Comp_Release	0	4194304	Value	ValueOutput
Comp_Output	0	4194304	Value	ValueOutput
Limiter_Enabled	0	1	Toggle	ValueOutput
Maximizer_Drive	0	4194304	Value	ValueOutput
Limiter_Release	0	4194304	Value	ValueOutput
Maximizer_On_Off	0	1	Toggle	ValueOutput
Limiter_Mode	0	2	Value	ValueOutput
Delay_Enabled	0	1	Toggle	ValueOutput
Delay_Time	0	4194304	Value	ValueOutput
Delay_Beats	0	12	Value	ValueOutput
Delay_Sync	0	1	Toggle	ValueOutput
Delay_Feedback	0	4194304	Value	ValueOutput
Delay_Mode	0	4	Value	ValueOutput
Delay_Damping	0	4194304	Value	ValueOutput
Delay_Dry_Wet	0	4194304	Value	ValueOutput
Reverb_Enabled	0	1	Toggle	ValueOutput
Reverb_Time	0	4194304	Value	ValueOutput
Reverb_Pre_Delay	0	4194304	Value	ValueOutput
Reverb_Low_Cut	0	4194304	Value	ValueOutput
Reverb_Low_Damping	0	4194304	Value	ValueOutput
Reverb_High_Cut	0	4194304	Value	ValueOutput
Reverb_Damping	0	4194304	Value	ValueOutput
Reverb_Dry_Wet	0	4194304	Value	ValueOutput
LFO_1_Wave_Type	0	8	Value	ValueOutput
LFO_1_Unipolar	0	1	Toggle	ValueOutput
LFO_1_Time_Mode	0	1	Toggle	ValueOutput
LFO_1_Beats	0	12	Value	ValueOutput
LFO_1_Rate	0	4194304	Value	ValueOutput
LFO_1_Retrigger	0	1	Toggle	ValueOutput
LFO_1_Start_Phase	0	4194304	Value	ValueOutput
LFO_1_Target1_Depth	0	4194304	Value	ValueOutput
LFO_1_Target1_Smooth	0	4194304	Value	ValueOutput
LFO_1_Target1_Invert	0	1	Toggle	ValueOutput
LFO_1_Target2_Depth	0	4194304	Value	ValueOutput
LFO_1_Target2_Smooth	0	4194304	Value	ValueOutput
LFO_1_Target2_Invert	0	1	Toggle	ValueOutput
LFO_1_Target1	0	16	Value	ValueOutput
LFO_1_Target1_Volume_Dest	0	1	Toggle	ValueOutput
LFO_1_Target1_Filter_1_Dest	0	1	Toggle	ValueOutput
LFO_1_Target1_Filter_2_Dest	0	1	Toggle	ValueOutput
LFO_1_Target1_FX9_Dest	0	8	Value	ValueOutput
LFO_1_Target1_EQ_Dest	0	11	Value	ValueOutput
LFO_1_Target1_Mix_Dest	0	1	Toggle	ValueOutput
LFO_1_Target1_Damager_Dest	0	3	Value	ValueOutput
LFO_1_Target1_Saturation_Dest	0	5	Value	ValueOutput
LFO_1_Target1_MRDR1_Dest	0	26	Value	ValueOutput
LFO_1_Target1_Flanger_Dest	0	5	Value	ValueOutput
LFO_1_Target1_Chorus_Dest	0	3	Value	ValueOutput
LFO_1_Target1_Phaser_Dest	0	5	Value	ValueOutput
LFO_1_Target1_FreqShifter_Dest	0	4	Value	ValueOutput
LFO_1_Target1_Delay_Dest	0	3	Value	ValueOutput
LFO_1_Target1_Reverb_Dest	0	5	Value	ValueOutput
LFO_1_Target1_LFO2_Dest	0	1	Toggle	ValueOutput
LFO_1_Target1_None_Dest	0	1	Toggle	ValueOutput
LFO_1_Target2	0	15	Value	ValueOutput
LFO_1_Target2_Filter_1_Dest	0	1	Toggle	ValueOutput
LFO_1_Target2_Filter_2_Dest	0	1	Toggle	ValueOutput
LFO_1_Target2_FX9_Dest	0	8	Value	ValueOutput
LFO_1_Target2_EQ_Dest	0	11	Value	ValueOutput
LFO_1_Target2_Mix_Dest	0	1	Toggle	ValueOutput
LFO_1_Target2_Damager_Dest	0	3	Value	ValueOutput
LFO_1_Target2_Saturation_Dest	0	5	Value	ValueOutput
LFO_1_Target2_MRDR1_Dest	0	26	Value	ValueOutput
LFO_1_Target2_Flanger_Dest	0	5	Value	ValueOutput
LFO_1_Target2_Chorus_Dest	0	3	Value	ValueOutput
LFO_1_Target2_Phaser_Dest	0	5	Value	ValueOutput
LFO_1_Target2_FreqShifter_Dest	0	4	Value	ValueOutput
LFO_1_Target2_Delay_Dest	0	3	Value	ValueOutput
LFO_1_Target2_Reverb_Dest	0	5	Value	ValueOutput
LFO_1_Target2_LFO2_Dest	0	1	Toggle	ValueOutput
LFO_1_Target2_None_Dest	0	1	Toggle	ValueOutput
LFO_2_Wave_Type	0	8	Value	ValueOutput
LFO_2_Unipolar	0	1	Toggle	ValueOutput
LFO_2_Time_Mode	0	1	Toggle	ValueOutput
LFO_2_Beats	0	12	Value	ValueOutput
LFO_2_Rate	0	4194304	Value	ValueOutput
LFO_2_Retrigger	0	1	Toggle	ValueOutput
LFO_2_Start_Phase	0	4194304	Value	ValueOutput
LFO_2_Target1_Depth	0	4194304	Value	ValueOutput
LFO_2_Target1_Smooth	0	4194304	Value	ValueOutput
LFO_2_Target1_Invert	0	1	Toggle	ValueOutput
LFO_2_Target2_Depth	0	4194304	Value	ValueOutput
LFO_2_Target2_Smooth	0	4194304	Value	ValueOutput
LFO_2_Target2_Invert	0	1	Toggle	ValueOutput
LFO_2_Target1	0	16	Value	ValueOutput
LFO_2_Target1_Volume_Dest	0	1	Toggle	ValueOutput
LFO_2_Target1_Filter_1_Dest	0	1	Toggle	ValueOutput
LFO_2_Target1_Filter_2_Dest	0	1	Toggle	ValueOutput
LFO_2_Target1_FX9_Dest	0	8	Value	ValueOutput
LFO_2_Target1_EQ_Dest	0	11	Value	ValueOutput
LFO_2_Target1_Mix_Dest	0	1	Toggle	ValueOutput
LFO_2_Target1_Damager_Dest	0	3	Value	ValueOutput
LFO_2_Target1_Saturation_Dest	0	5	Value	ValueOutput
LFO_2_Target1_MRDR1_Dest	0	26	Value	ValueOutput
LFO_2_Target1_Flanger_Dest	0	5	Value	ValueOutput
LFO_2_Target1_Chorus_Dest	0	3	Value	ValueOutput
LFO_2_Target1_Phaser_Dest	0	5	Value	ValueOutput
LFO_2_Target1_FreqShifter_Dest	0	4	Value	ValueOutput
LFO_2_Target1_Delay_Dest	0	3	Value	ValueOutput
LFO_2_Target1_Reverb_Dest	0	5	Value	ValueOutput
LFO_2_Target1_LFO1_Dest	0	1	Toggle	ValueOutput
LFO_2_Target1_None_Dest	0	1	Toggle	ValueOutput
LFO_2_Target2	0	15	Value	ValueOutput
LFO_2_Target2_Filter_1_Dest	0	1	Toggle	ValueOutput
LFO_2_Target2_Filter_2_Dest	0	1	Toggle	ValueOutput
LFO_2_Target2_FX9_Dest	0	8	Value	ValueOutput
LFO_2_Target2_EQ_Dest	0	11	Value	ValueOutput
LFO_2_Target2_Mix_Dest	0	1	Toggle	ValueOutput
LFO_2_Target2_Damager_Dest	0	3	Value	ValueOutput
