Scope
Manufacturer	Model
Sugar Bytes	com.sugarbytes.Vocodizer

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
sound	0	4194304	Value	ValueOutput
note1hi	0	12	Value	ValueOutput
note2hi	0	24	Value	ValueOutput
note2low	0	24	Value	ValueOutput
note1low	0	12	Value	ValueOutput
spread	0	9	Value	ValueOutput
arpfreq	0	14	Value	ValueOutput
arpstate	0	1	Toggle	ValueOutput
drywet	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
