Scope
Manufacturer	Model
Forgotten Clank Studios	com.forgottenclankstudios.Waveshaper2

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Global Gain Stage Input Gain	0	4194304	Value	ValueOutput
Global Gain Stage Dry/Wet	0	4194304	Value	ValueOutput
Global Gain Stage Output Gain	0	4194304	Value	ValueOutput
Crossover 1 Cutoff	0	4194304	Value	ValueOutput
Crossover 2 Cutoff	0	4194304	Value	ValueOutput
Crossover 3 Cutoff	0	4194304	Value	ValueOutput
Crossover 1 Solo	0	1	Toggle	ValueOutput
Crossover 1 Mute	0	1	Toggle	ValueOutput
Frequency Band 1 Module Balance	0	4194304	Value	ValueOutput
Frequency Band 1 Slot 1 Bypass	0	1	Toggle	ValueOutput
Frequency Band 1 Slot 2 Bypass	0	1	Toggle	ValueOutput
Frequency Band 1 Output Gain	0	4194304	Value	ValueOutput
Crossover 2 Solo	0	1	Toggle	ValueOutput
Crossover 2 Mute	0	1	Toggle	ValueOutput
Frequency Band 2 Module Balance	0	4194304	Value	ValueOutput
Frequency Band 2 Slot 1 Bypass	0	1	Toggle	ValueOutput
Frequency Band 2 Slot 2 Bypass	0	1	Toggle	ValueOutput
Frequency Band 2 Output Gain	0	4194304	Value	ValueOutput
Crossover 3 Solo	0	1	Toggle	ValueOutput
Crossover 3 Mute	0	1	Toggle	ValueOutput
Frequency Band 3 Module Balance	0	4194304	Value	ValueOutput
Frequency Band 3 Slot 1 Bypass	0	1	Toggle	ValueOutput
Frequency Band 3 Slot 2 Bypass	0	1	Toggle	ValueOutput
Frequency Band 3 Output Gain	0	4194304	Value	ValueOutput
Frequency Band 4 Module Balance	0	4194304	Value	ValueOutput
Frequency Band 4 Slot 1 Bypass	0	1	Toggle	ValueOutput
Frequency Band 4 Slot 2 Bypass	0	1	Toggle	ValueOutput
Frequency Band 4 Output Gain	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Morpher Parameter 1	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Morpher Parameter 2	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Bender Parameter 1	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Bender Parameter 2	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Bender Parameter 3	0	4194304	Value	ValueOutput
Wave Shape Module 1 Curve Bender Parameter 4	0	4194304	Value	ValueOutput
Wave Shape Module 1 Shift Horizontal	0	4194304	Value	ValueOutput
Wave Shape Module 1 Shift Vertical	0	4194304	Value	ValueOutput
Wave Shape Module 1 Timbre Toggle	0	1	Toggle	ValueOutput
Wave Shape Module 1 Timbre Value	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dynamics Toggle	0	1	Toggle	ValueOutput
Wave Shape Module 1 Dynamics Threshold	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dynamics Ratio	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dynamics Attack	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dynamics Release	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dynamics Invert	0	1	Toggle	ValueOutput
Wave Shape Module 1 Input Gain	0	4194304	Value	ValueOutput
Wave Shape Module 1 Pan	0	4194304	Value	ValueOutput
Wave Shape Module 1 Wet Gain	0	4194304	Value	ValueOutput
Wave Shape Module 1 Dry Wet	0	4194304	Value	ValueOutput
Wave Shape Module 1 Output Gain	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Morpher Parameter 1	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Morpher Parameter 2	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Bender Parameter 1	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Bender Parameter 2	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Bender Parameter 3	0	4194304	Value	ValueOutput
Wave Shape Module 2 Curve Bender Parameter 4	0	4194304	Value	ValueOutput
Wave Shape Module 2 Shift Horizontal	0	4194304	Value	ValueOutput
