Scope
Manufacturer	Model
AudioRealism	se.audiorealism.abl3

Remotable	Min	Max	Input type	Output type
Volume	0	4194304	Value	ValueOutput
Waveform	0	1	Toggle	ValueOutput
Tuning	0	4194304	Value	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Envmod	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Accent	0	4194304	Value	ValueOutput
Pattern	0	4	Value	ValueOutput
Edit Mode	0	2	Value	ValueOutput
Gate Trim	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Distortion	0	4194304	Value	ValueOutput
Highpass	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
