Scope
Manufacturer	Model
Synapse Audio	com.synapseAudioSoftware.Antidote

Remotable	Min	Max	Input type	Output type
Polyphony	0	5	Value	ValueOutput
Glide	0	4194304	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
External Input Amount	0	4194304	Value	ValueOutput
Osc 1 Semi	0	48	Value	ValueOutput
Osc 1 Fine	0	4194304	Value	ValueOutput
Osc 1 Detune	0	4194304	Value	ValueOutput
Osc 1 Spread	0	4194304	Value	ValueOutput
Osc 1 Phase	0	4194304	Value	ValueOutput
Osc 1 Modifier	0	4194304	Value	ValueOutput
Osc 1 Key Track	0	4194304	Value	ValueOutput
Osc 1 Pan	0	4194304	Value	ValueOutput
Osc 1 Waveform	0	19	Value	ValueOutput
Osc 1 Voices	0	12	Value	ValueOutput
Osc 1 Dyad	0	7	Value	ValueOutput
Osc 2 Semi	0	48	Value	ValueOutput
Osc 2 Fine	0	4194304	Value	ValueOutput
Osc 2 Detune	0	4194304	Value	ValueOutput
Osc 2 Spread	0	4194304	Value	ValueOutput
Osc 2 Phase	0	4194304	Value	ValueOutput
Osc 2 Modifier	0	4194304	Value	ValueOutput
Osc 2 Key Track	0	4194304	Value	ValueOutput
Osc 2 Pan	0	4194304	Value	ValueOutput
Osc 2 Waveform	0	19	Value	ValueOutput
Osc 2 Voices	0	12	Value	ValueOutput
Osc 2 Dyad	0	7	Value	ValueOutput
Osc 1 Volume	0	4194304	Value	ValueOutput
Osc 2 Volume	0	4194304	Value	ValueOutput
Sub 1 Volume	0	4194304	Value	ValueOutput
Sub 2 Volume	0	4194304	Value	ValueOutput
Drift	0	4194304	Value	ValueOutput
Filter Type	0	7	Value	ValueOutput
Filter Cutoff	0	4194304	Value	ValueOutput
Filter Resonance	0	4194304	Value	ValueOutput
Filter Envelope Amount	0	4194304	Value	ValueOutput
Filter Key Track	0	4194304	Value	ValueOutput
Filter Envelope Attack	0	4194304	Value	ValueOutput
Filter Envelope Decay	0	4194304	Value	ValueOutput
Filter Envelope Sustain	0	4194304	Value	ValueOutput
Filter Envelope Release	0	4194304	Value	ValueOutput
Mod Envelope Attack	0	4194304	Value	ValueOutput
Mod Envelope Decay	0	4194304	Value	ValueOutput
Mod Envelope Sustain	0	4194304	Value	ValueOutput
Mod Envelope Release	0	4194304	Value	ValueOutput
Mod Envelope Target	0	60	Value	ValueOutput
Mod Envelope Target Amount	0	4194304	Value	ValueOutput
Amp Envelope Attack	0	4194304	Value	ValueOutput
Amp Envelope Decay	0	4194304	Value	ValueOutput
Amp Envelope Sustain	0	4194304	Value	ValueOutput
Amp Envelope Release	0	4194304	Value	ValueOutput
Lfo 1 Rate	0	4194304	Value	ValueOutput
Lfo 1 Rate Sync	0	26	Value	ValueOutput
Lfo 1 Shape	0	5	Value	ValueOutput
Lfo 1 Sync	0	1	Toggle	ValueOutput
Lfo 1 Free Run	0	1	Toggle	ValueOutput
Lfo 1 Target	0	60	Value	ValueOutput
