Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Complex

Remotable	Min	Max	Input type	Output type
Osc 1 AM Amt	0	4194304	Value	ValueOutput
Osc 1 FM Amt	0	4194304	Value	ValueOutput
Osc 1 Pitch	0	72	Value	ValueOutput
Osc 1 Pitch Amt	0	4194304	Value	ValueOutput
Osc 1 Shape	0	4194304	Value	ValueOutput
Osc 1 Shape Amt	0	4194304	Value	ValueOutput
Osc 1 Tune	0	4194304	Value	ValueOutput
Osc 1 Wave	0	2	Value	ValueOutput
Osc 2 AM Amt	0	4194304	Value	ValueOutput
Osc 2 FM Amt	0	4194304	Value	ValueOutput
Osc 2 Pitch	0	72	Value	ValueOutput
Osc 2 Pitch Amt	0	4194304	Value	ValueOutput
Osc 2 Shape	0	4194304	Value	ValueOutput
Osc 2 Shape Amt	0	4194304	Value	ValueOutput
Osc 2 Tune	0	4194304	Value	ValueOutput
Osc 2 Wave	0	2	Value	ValueOutput
Osc Mix	0	4194304	Value	ValueOutput
Osc Mix Amt	0	4194304	Value	ValueOutput
Osc Sync	0	1	Toggle	ValueOutput
Osc1 To Osc2 AM	0	4194304	Value	ValueOutput
Osc1 To Osc2 FM	0	4194304	Value	ValueOutput
Osc 3 Pitch	0	72	Value	ValueOutput
Osc 3 Pitch Amt1	0	4194304	Value	ValueOutput
Osc 3 Pitch Amt2	0	4194304	Value	ValueOutput
Osc 3 Range	0	4194304	Value	ValueOutput
Osc 3 Shape	0	4194304	Value	ValueOutput
Osc 3 Shape Amt	0	4194304	Value	ValueOutput
Noise Color	0	4194304	Value	ValueOutput
Noise Color Amt	0	4194304	Value	ValueOutput
Noise Rate	0	4194304	Value	ValueOutput
Noise Rate Amt	0	4194304	Value	ValueOutput
Noise Type	0	6	Value	ValueOutput
Shaper Drive	0	4194304	Value	ValueOutput
Shaper Drive Amt	0	4194304	Value	ValueOutput
Shaper Sym	0	4194304	Value	ValueOutput
Shaper Sym Amt	0	4194304	Value	ValueOutput
Shaper Type	0	5	Value	ValueOutput
Comb DryWet	0	4194304	Value	ValueOutput
Comb FB	0	4194304	Value	ValueOutput
Comb FB Amt	0	4194304	Value	ValueOutput
Comb Freq	0	4194304	Value	ValueOutput
Comb Freq Amt	0	4194304	Value	ValueOutput
Comb Gain	0	4194304	Value	ValueOutput
Comb Peak	0	4194304	Value	ValueOutput
Comb Peak Amt	0	4194304	Value	ValueOutput
Comb Pitch	0	4194304	Value	ValueOutput
Comb Pitch Amt	0	4194304	Value	ValueOutput
Comb Pitch To Freq	0	1	Toggle	ValueOutput
Filter Drive	0	4194304	Value	ValueOutput
Filter FM Amt	0	4194304	Value	ValueOutput
Filter Freq	0	4194304	Value	ValueOutput
Filter Freq Amt1	0	4194304	Value	ValueOutput
