Scope
Manufacturer	Model
Propellerheads	Dr.REX Loop Player

Remotable	Min	Max	Input type	Output type
Amp Env Attack	0	127	Value	ValueOutput
Amp Env Decay	0	127	Value	ValueOutput
Amp Env Sustain	0	127	Value	ValueOutput
Amp Env Release	0	127	Value	ValueOutput
Master Level	0	127	Value	ValueOutput
Filter Env Attack	0	127	Value	ValueOutput
Filter Env Decay	0	127	Value	ValueOutput
Filter Env Sustain	0	127	Value	ValueOutput
Filter Env Release	0	127	Value	ValueOutput
Filter Env Amount	0	127	Value	ValueOutput
Filter On/Off	0	1	Toggle	ValueOutput
Filter Freq	0	127	Value	ValueOutput
Filter Res	0	127	Value	ValueOutput
Filter Mode	0	4	Value	ValueOutput
Osc Octave	0	8	Value	ValueOutput
Transpose	-12	12	Value	ValueOutput
Osc Fine Tune	-50	50	Value	ValueOutput
Osc Env Amount	-64	63	Value	ValueOutput
LFO1 Rate	0	127	Value	ValueOutput
LFO1 Amount	0	127	Value	ValueOutput
LFO1 Wave	0	5	Value	ValueOutput
LFO1 Dest	0	2	Value	ValueOutput
Polyphony	1	99	Value	ValueOutput
Low Bandwidth On/Off	0	1	Toggle	ValueOutput
High Quality Interpolation	0	1	Toggle	ValueOutput
Filter Freq Mod Wheel Amount	-64	63	Value	ValueOutput
Filter Res Mod Wheel Amount	-64	63	Value	ValueOutput
Filter Decay Mod Wheel Amount	-64	63	Value	ValueOutput
Pitch Bend Range	0	24	Value	ValueOutput
Amp Vel Amount	-64	63	Value	ValueOutput
Filter Env Vel Amount	-64	63	Value	ValueOutput
Filter Decay Vel Amount	-64	63	Value	ValueOutput
LFO Sync Enable	0	1	Toggle	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Note On Indicator	0	1	-	ValueOutput
Sample Loading Progress	-1	127	-	ValueOutput
Enable Loop Playback	0	1	Toggle	ValueOutput
Selected Loop Slot	-1	7	Value	ValueOutput
Mute	0	1	-	ValueOutput
Trigger Next Setting	0	2	Value	ValueOutput
Selected Loop in Editor	0	7	Value	ValueOutput
Follow Loop Playback	0	1	Toggle	ValueOutput
Notes to Slot	1	8	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	1	Trig	ValueOutput
Select Next Patch	0	1	Trig	ValueOutput
Run	0	1	Toggle	ValueOutput
Select Loop 1	0	1	Toggle	ValueOutput
Select Loop 2	0	1	Toggle	ValueOutput
Select Loop 3	0	1	Toggle	ValueOutput
Select Loop 4	0	1	Toggle	ValueOutput
Select Loop 5	0	1	Toggle	ValueOutput
Select Loop 6	0	1	Toggle	ValueOutput
Select Loop 7	0	1	Toggle	ValueOutput
Select Loop 8	0	1	Toggle	ValueOutput
Loop Level	0	127	Value	ValueOutput
Loop Transpose	-12	12	Value	ValueOutput
