Scope
Manufacturer	Model
Ochen K.	com.ochenk.EDS06sDrumSynth

Remotable	Min	Max	Input type	Output type
Ch 1 Note	0	127	Value	ValueOutput
Ch 1 Wave	0	48	Value	ValueOutput
Ch 1 Pitch Coarse	0	4194304	Value	ValueOutput
Ch 1 Pitch Fine	0	4194304	Value	ValueOutput
Ch 1 Pitch Drop	0	4194304	Value	ValueOutput
Ch 1 Envelope Attack	0	4194304	Value	ValueOutput
Ch 1 Envelope Decay	0	4194304	Value	ValueOutput
Ch 1 Filter Type	0	4	Value	ValueOutput
Ch 1 Filter Frequency	0	4194304	Value	ValueOutput
Ch 1 Filter Resonance	0	4194304	Value	ValueOutput
Ch 1 Distortion Drive	0	4194304	Value	ValueOutput
Ch 1 Distortion Foldback	0	4194304	Value	ValueOutput
Ch 1 Distortion Bit Crush	0	4194304	Value	ValueOutput
Ch 1 Reverb Size	0	4194304	Value	ValueOutput
Ch 1 Reverb Decay	0	4194304	Value	ValueOutput
Ch 1 Delay Volume	0	4194304	Value	ValueOutput
Ch 1 Delay Time	0	4194304	Value	ValueOutput
Ch 1 Delay Feedback	0	4194304	Value	ValueOutput
Ch 1 LFO Wave	0	6	Value	ValueOutput
Ch 1 LFO Rate	0	4194304	Value	ValueOutput
Ch 1 LFO Rate Sync	0	8	Value	ValueOutput
Ch 1 LFO Destination	0	20	Value	ValueOutput
Ch 1 LFO Scale	0	4194304	Value	ValueOutput
Ch 1 LFO Sync	0	2	Value	ValueOutput
Ch 1 FX Routing	0	23	Value	ValueOutput
Ch 1 Aux Mix	0	4194304	Value	ValueOutput
Ch 1 Volume	0	4194304	Value	ValueOutput
Ch 1 Pan	0	4194304	Value	ValueOutput
Ch 1 Solo	0	1	Toggle	ValueOutput
Ch 2 Note	0	127	Value	ValueOutput
Ch 2 Wave	0	48	Value	ValueOutput
Ch 2 Pitch Coarse	0	4194304	Value	ValueOutput
Ch 2 Pitch Fine	0	4194304	Value	ValueOutput
Ch 2 Pitch Drop	0	4194304	Value	ValueOutput
Ch 2 Envelope Attack	0	4194304	Value	ValueOutput
Ch 2 Envelope Decay	0	4194304	Value	ValueOutput
Ch 2 Filter Type	0	4	Value	ValueOutput
Ch 2 Filter Frequency	0	4194304	Value	ValueOutput
