Scope
Manufacturer	Model
Rob Papen	com.robpapen.Go2

Remotable	Min	Max	Input type	Output type
Main Volume	0	4194304	Value	ValueOutput
Main Pan	0	4194304	Value	ValueOutput
Velocity To Volume	0	4194304	Value	ValueOutput
Distort Amount	0	4194304	Value	ValueOutput
Portamento Amount	0	4194304	Value	ValueOutput
Unison Detune	0	4194304	Value	ValueOutput
Unison Stereo Spread	0	4194304	Value	ValueOutput
Analog Drift	0	1	Toggle	ValueOutput
Exp Envelope	0	1	Toggle	ValueOutput
Play Mode	0	3	Value	ValueOutput
Portamento Mode	0	4	Value	ValueOutput
Unison Mode	0	23	Value	ValueOutput
Pitch Bend Down	0	15	Value	ValueOutput
Pitch Bend Up	0	15	Value	ValueOutput
Amp Envelope Attack	0	4194304	Value	ValueOutput
Amp Envelope Decay	0	4194304	Value	ValueOutput
Amp Envelope Sustain	0	4194304	Value	ValueOutput
Amp Envelope Release	0	4194304	Value	ValueOutput
Oscillator Spread	0	4194304	Value	ValueOutput
Oscillator SubOsc Volume	0	4194304	Value	ValueOutput
Oscillator Symmetry	0	4194304	Value	ValueOutput
Oscillator SMod Amount	0	4194304	Value	ValueOutput
Oscillator SMod Speed	0	4194304	Value	ValueOutput
Oscillator Morph	0	4194304	Value	ValueOutput
Oscillator Octave	0	8	Value	ValueOutput
Oscillator Mode	0	6	Value	ValueOutput
Oscillator First Wave	0	127	Value	ValueOutput
Oscillator Second Wave	0	127	Value	ValueOutput
Filter Frequency	0	4194304	Value	ValueOutput
Filter Q	0	4194304	Value	ValueOutput
Mod Wheel To Filter Frequency	0	4194304	Value	ValueOutput
Velocity To Filter Frequency	0	4194304	Value	ValueOutput
Filter KeyTracking	0	4194304	Value	ValueOutput
Filter Mode	0	8	Value	ValueOutput
Filter Envelope Amount	0	4194304	Value	ValueOutput
Filter Envelope Invert	0	1	Toggle	ValueOutput
Filter Envelope Attack	0	4194304	Value	ValueOutput
Filter Envelope Decay	0	4194304	Value	ValueOutput
Filter Envelope Sustain	0	4194304	Value	ValueOutput
Filter Envelope Release	0	4194304	Value	ValueOutput
HighPass Filter Mode	0	1	Toggle	ValueOutput
