Scope
Manufacturer	Model
Propellerheads	Kong Drum Designer

Remotable	Min	Max	Input type	Output type
Master Level	0	127	Value	ValueOutput
Note On Indicator	0	1	-	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Master FX P1	0	127	Value	ValueOutput
Master FX P2	0	127	Value	ValueOutput
Master FX On	0	1	Toggle	ValueOutput
Bus FX P1	0	127	Value	ValueOutput
Bus FX P2	0	127	Value	ValueOutput
Bus FX On	0	1	Toggle	ValueOutput
Level Bus FX to Master FX	0	127	Value	ValueOutput
Master Level Output Left	0	20	-	ValueOutput
Master Level Output Right	0	20	-	ValueOutput
Master FX Peak Meter	0	20	-	ValueOutput
Bus FX Peak Meter	0	20	-	ValueOutput
Sample Loading Progress	-1	127	-	ValueOutput
Drum 1 Level	0	127	Value	ValueOutput
Drum 1 Pan	-64	63	Value	ValueOutput
Drum 1 Tone	-64	63	Value	ValueOutput
Drum 1 Bus FX Send	0	127	Value	ValueOutput
Drum 1 Aux 1 Send	0	127	Value	ValueOutput
Drum 1 Aux 2 Send	0	127	Value	ValueOutput
Drum 1 Pitch Offset	-120	120	Value	ValueOutput
Drum 1 Decay Offset	-64	63	Value	ValueOutput
Drum 1 Output	0	9	Value	ValueOutput
Drum 1 DM On	0	1	Toggle	ValueOutput
Drum 1 FX1 On	0	1	Toggle	ValueOutput
Drum 1 FX2 On	0	1	Toggle	ValueOutput
Drum 1 DM Level	0	127	Value	ValueOutput
Drum 1 DM Pitch	-64	63	Value	ValueOutput
Drum 1 DM Decay	0	127	Value	ValueOutput
Drum 1 DM Variable	0	127	Value	ValueOutput
Drum 1 FX1 P1	0	127	Value	ValueOutput
Drum 1 FX1 P2	0	127	Value	ValueOutput
Drum 1 FX2 P1	0	127	Value	ValueOutput
Drum 1 FX2 P2	0	127	Value	ValueOutput
Drum 1 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 1 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 1 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 1 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 1 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 1 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 1 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 1 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 1 Pitch Bend Range	0	12	Value	ValueOutput
Drum 2 Level	0	127	Value	ValueOutput
Drum 2 Pan	-64	63	Value	ValueOutput
Drum 2 Tone	-64	63	Value	ValueOutput
Drum 2 Bus FX Send	0	127	Value	ValueOutput
Drum 2 Aux 1 Send	0	127	Value	ValueOutput
Drum 2 Aux 2 Send	0	127	Value	ValueOutput
Drum 2 Pitch Offset	-120	120	Value	ValueOutput
Drum 2 Decay Offset	-64	63	Value	ValueOutput
Drum 2 Output	0	9	Value	ValueOutput
Drum 2 DM On	0	1	Toggle	ValueOutput
Drum 2 FX1 On	0	1	Toggle	ValueOutput
Drum 2 FX2 On	0	1	Toggle	ValueOutput
Drum 2 DM Level	0	127	Value	ValueOutput
Drum 2 DM Pitch	-64	63	Value	ValueOutput
Drum 2 DM Decay	0	127	Value	ValueOutput
Drum 2 DM Variable	0	127	Value	ValueOutput
Drum 2 FX1 P1	0	127	Value	ValueOutput
Drum 2 FX1 P2	0	127	Value	ValueOutput
Drum 2 FX2 P1	0	127	Value	ValueOutput
Drum 2 FX2 P2	0	127	Value	ValueOutput
Drum 2 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 2 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 2 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 2 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 2 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 2 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 2 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 2 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 2 Pitch Bend Range	0	12	Value	ValueOutput
Drum 3 Level	0	127	Value	ValueOutput
Drum 3 Pan	-64	63	Value	ValueOutput
Drum 3 Tone	-64	63	Value	ValueOutput
Drum 3 Bus FX Send	0	127	Value	ValueOutput
Drum 3 Aux 1 Send	0	127	Value	ValueOutput
Drum 3 Aux 2 Send	0	127	Value	ValueOutput
Drum 3 Pitch Offset	-120	120	Value	ValueOutput
Drum 3 Decay Offset	-64	63	Value	ValueOutput
Drum 3 Output	0	9	Value	ValueOutput
Drum 3 DM On	0	1	Toggle	ValueOutput
Drum 3 FX1 On	0	1	Toggle	ValueOutput
Drum 3 FX2 On	0	1	Toggle	ValueOutput
Drum 3 DM Level	0	127	Value	ValueOutput
Drum 3 DM Pitch	-64	63	Value	ValueOutput
Drum 3 DM Decay	0	127	Value	ValueOutput
Drum 3 DM Variable	0	127	Value	ValueOutput
Drum 3 FX1 P1	0	127	Value	ValueOutput
Drum 3 FX1 P2	0	127	Value	ValueOutput
Drum 3 FX2 P1	0	127	Value	ValueOutput
Drum 3 FX2 P2	0	127	Value	ValueOutput
Drum 3 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 3 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 3 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 3 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 3 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 3 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 3 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 3 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 3 Pitch Bend Range	0	12	Value	ValueOutput
Drum 4 Level	0	127	Value	ValueOutput
Drum 4 Pan	-64	63	Value	ValueOutput
Drum 4 Tone	-64	63	Value	ValueOutput
Drum 4 Bus FX Send	0	127	Value	ValueOutput
Drum 4 Aux 1 Send	0	127	Value	ValueOutput
Drum 4 Aux 2 Send	0	127	Value	ValueOutput
Drum 4 Pitch Offset	-120	120	Value	ValueOutput
Drum 4 Decay Offset	-64	63	Value	ValueOutput
Drum 4 Output	0	9	Value	ValueOutput
Drum 4 DM On	0	1	Toggle	ValueOutput
Drum 4 FX1 On	0	1	Toggle	ValueOutput
Drum 4 FX2 On	0	1	Toggle	ValueOutput
Drum 4 DM Level	0	127	Value	ValueOutput
Drum 4 DM Pitch	-64	63	Value	ValueOutput
Drum 4 DM Decay	0	127	Value	ValueOutput
Drum 4 DM Variable	0	127	Value	ValueOutput
Drum 4 FX1 P1	0	127	Value	ValueOutput
Drum 4 FX1 P2	0	127	Value	ValueOutput
Drum 4 FX2 P1	0	127	Value	ValueOutput
Drum 4 FX2 P2	0	127	Value	ValueOutput
Drum 4 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 4 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 4 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 4 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 4 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 4 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 4 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 4 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 4 Pitch Bend Range	0	12	Value	ValueOutput
Drum 5 Level	0	127	Value	ValueOutput
Drum 5 Pan	-64	63	Value	ValueOutput
Drum 5 Tone	-64	63	Value	ValueOutput
Drum 5 Bus FX Send	0	127	Value	ValueOutput
Drum 5 Aux 1 Send	0	127	Value	ValueOutput
Drum 5 Aux 2 Send	0	127	Value	ValueOutput
Drum 5 Pitch Offset	-120	120	Value	ValueOutput
Drum 5 Decay Offset	-64	63	Value	ValueOutput
Drum 5 Output	0	9	Value	ValueOutput
Drum 5 DM On	0	1	Toggle	ValueOutput
Drum 5 FX1 On	0	1	Toggle	ValueOutput
Drum 5 FX2 On	0	1	Toggle	ValueOutput
Drum 5 DM Level	0	127	Value	ValueOutput
Drum 5 DM Pitch	-64	63	Value	ValueOutput
Drum 5 DM Decay	0	127	Value	ValueOutput
Drum 5 DM Variable	0	127	Value	ValueOutput
Drum 5 FX1 P1	0	127	Value	ValueOutput
Drum 5 FX1 P2	0	127	Value	ValueOutput
Drum 5 FX2 P1	0	127	Value	ValueOutput
Drum 5 FX2 P2	0	127	Value	ValueOutput
Drum 5 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 5 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 5 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 5 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 5 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 5 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 5 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 5 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 5 Pitch Bend Range	0	12	Value	ValueOutput
Drum 6 Level	0	127	Value	ValueOutput
Drum 6 Pan	-64	63	Value	ValueOutput
Drum 6 Tone	-64	63	Value	ValueOutput
Drum 6 Bus FX Send	0	127	Value	ValueOutput
Drum 6 Aux 1 Send	0	127	Value	ValueOutput
Drum 6 Aux 2 Send	0	127	Value	ValueOutput
Drum 6 Pitch Offset	-120	120	Value	ValueOutput
Drum 6 Decay Offset	-64	63	Value	ValueOutput
Drum 6 Output	0	9	Value	ValueOutput
Drum 6 DM On	0	1	Toggle	ValueOutput
Drum 6 FX1 On	0	1	Toggle	ValueOutput
Drum 6 FX2 On	0	1	Toggle	ValueOutput
Drum 6 DM Level	0	127	Value	ValueOutput
Drum 6 DM Pitch	-64	63	Value	ValueOutput
Drum 6 DM Decay	0	127	Value	ValueOutput
Drum 6 DM Variable	0	127	Value	ValueOutput
Drum 6 FX1 P1	0	127	Value	ValueOutput
Drum 6 FX1 P2	0	127	Value	ValueOutput
Drum 6 FX2 P1	0	127	Value	ValueOutput
Drum 6 FX2 P2	0	127	Value	ValueOutput
Drum 6 FX1 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 6 FX1 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 6 FX1 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 6 FX1 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 6 FX2 Enable Hit 1	0	1	Toggle	ValueOutput
Drum 6 FX2 Enable Hit 2	0	1	Toggle	ValueOutput
Drum 6 FX2 Enable Hit 3	0	1	Toggle	ValueOutput
Drum 6 FX2 Enable Hit 4	0	1	Toggle	ValueOutput
Drum 6 Pitch Bend Range	0	12	Value	ValueOutput
Drum 7 Level	0	127	Value	ValueOutput
Drum 7 Pan	-64	63	Value	ValueOutput
Drum 7 Tone	-64	63	Value	ValueOutput
Drum 7 Bus FX Send	0	127	Value	ValueOutput
Drum 7 Aux 1 Send	0	127	Value	ValueOutput
Drum 7 Aux 2 Send	0	127	Value	ValueOutput
Drum 7 Pitch Offset	-120	120	Value	ValueOutput
Drum 7 Decay Offset	-64	63	Value	ValueOutput
Drum 7 Output	0	9	Value	ValueOutput
Drum 7 DM On	0	1	Toggle	ValueOutput
Drum 7 FX1 On	0	1	Toggle	ValueOutput
Drum 7 FX2 On	0	1	Toggle	ValueOutput
Drum 7 DM Level	0	127	Value	ValueOutput
Drum 7 DM Pitch	-64	63	Value	ValueOutput
Drum 7 DM Decay	0	127	Value	ValueOutput
Drum 7 DM Variable	0	127	Value	ValueOutput
