Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.layers_wave_edition

Remotable	Min	Max	Input type	Output type
Main_Volume	0	4194304	Value	ValueOutput
Compressor	0	1	Toggle	ValueOutput
Comp_Amount	0	4194304	Value	ValueOutput
LA_Volume	0	4194304	Value	ValueOutput
LA_Mute	0	1	Toggle	ValueOutput
LA_Amp_Attack	0	4194304	Value	ValueOutput
LA_Amp_Decay	0	4194304	Value	ValueOutput
LA_Amp_Sustain	0	4194304	Value	ValueOutput
LA_Amp_Release	0	4194304	Value	ValueOutput
LA_Amp_LFO1	0	4194304	Value	ValueOutput
LA_Amp_LFO2	0	4194304	Value	ValueOutput
LB_Volume	0	4194304	Value	ValueOutput
LB_Mute	0	1	Toggle	ValueOutput
LB_Amp_Attack	0	4194304	Value	ValueOutput
LB_Amp_Decay	0	4194304	Value	ValueOutput
LB_Amp_Sustain	0	4194304	Value	ValueOutput
LB_Amp_Release	0	4194304	Value	ValueOutput
LB_Amp_LFO1	0	4194304	Value	ValueOutput
LB_Amp_LFO2	0	4194304	Value	ValueOutput
LC_Volume	0	4194304	Value	ValueOutput
LC_Mute	0	1	Toggle	ValueOutput
LC_Amp_Attack	0	4194304	Value	ValueOutput
LC_Amp_Decay	0	4194304	Value	ValueOutput
LC_Amp_Sustain	0	4194304	Value	ValueOutput
LC_Amp_Release	0	4194304	Value	ValueOutput
LC_Amp_LFO1	0	4194304	Value	ValueOutput
LC_Amp_LFO2	0	4194304	Value	ValueOutput
LD_Volume	0	4194304	Value	ValueOutput
LD_Mute	0	1	Toggle	ValueOutput
LD_Amp_Attack	0	4194304	Value	ValueOutput
LD_Amp_Decay	0	4194304	Value	ValueOutput
LD_Amp_Sustain	0	4194304	Value	ValueOutput
LD_Amp_Release	0	4194304	Value	ValueOutput
LD_Amp_LFO1	0	4194304	Value	ValueOutput
LD_Amp_LFO2	0	4194304	Value	ValueOutput
GL_PBRange	0	12	Value	ValueOutput
LA_TrigDelay	0	1	Toggle	ValueOutput
LB_TrigDelay	0	1	Toggle	ValueOutput
LC_TrigDelay	0	1	Toggle	ValueOutput
