Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.Meteora

Remotable	Min	Max	Input type	Output type
Octave	0	4	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Tune	0	4194304	Value	ValueOutput
Mode	0	1	Toggle	ValueOutput
Volume	0	4194304	Value	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Waveform	0	5	Value	ValueOutput
LFO Depth	0	4194304	Value	ValueOutput
LFO Retrigger	0	1	Toggle	ValueOutput
LFO Sync Hz-Beats	0	1	Toggle	ValueOutput
LFO Start Phase	0	4194304	Value	ValueOutput
LFO Glide Time	0	4194304	Value	ValueOutput
Shaper Drive	0	4194304	Value	ValueOutput
Shaper Bypass	0	1	Toggle	ValueOutput
Filter Cutoff	0	4194304	Value	ValueOutput
Filter Resonance	0	4194304	Value	ValueOutput
Filter Envelope	0	4194304	Value	ValueOutput
Filter Attack	0	4194304	Value	ValueOutput
Filter Decay	0	4194304	Value	ValueOutput
Filter Sustain	0	4194304	Value	ValueOutput
Filter Release	0	4194304	Value	ValueOutput
Filter On/Off	0	1	Toggle	ValueOutput
Baseline Bypass	0	1	Toggle	ValueOutput
Base-signal Reverb Mix	0	4194304	Value	ValueOutput
Comb Filter Feedback	0	4194304	Value	ValueOutput
Comb Filter Stiffnes	0	4194304	Value	ValueOutput
Amp Attack	0	4194304	Value	ValueOutput
Amp Decay	0	4194304	Value	ValueOutput
Amp Sustain	0	4194304	Value	ValueOutput
Amp Release	0	4194304	Value	ValueOutput
Amp Velocity	0	4194304	Value	ValueOutput
Amp Volume	0	4194304	Value	ValueOutput
Baseline Tune	0	4194304	Value	ValueOutput
SineOsc Tune	0	4194304	Value	ValueOutput
SineOsc Mix	0	4194304	Value	ValueOutput
SineOsc Ring Mode	0	1	Toggle	ValueOutput
SineOsc Keytrack	0	1	Toggle	ValueOutput
SineOsc Bypass	0	1	Toggle	ValueOutput
Hypersaw Tune	0	4194304	Value	ValueOutput
Hypersaw Mix	0	4194304	Value	ValueOutput
Hypersaw Filter Cutoff	0	4194304	Value	ValueOutput
Hypersaw Filter Resonance	0	4194304	Value	ValueOutput
Hypersaw Filter Envelope	0	4194304	Value	ValueOutput
Hypersaw Bypass	0	1	Toggle	ValueOutput
Hypersaw 2nd Filter Cutoff	0	4194304	Value	ValueOutput
Hypersaw 2nd Filter Resonance	0	4194304	Value	ValueOutput
Hypersaw Reverb Mix	0	4194304	Value	ValueOutput
Liquid Tune	0	4194304	Value	ValueOutput
Liquid Mix	0	4194304	Value	ValueOutput
Liquid Filter Cutoff	0	4194304	Value	ValueOutput
Liquid Filter Resonance	0	4194304	Value	ValueOutput
Liquid Filter Envelope	0	4194304	Value	ValueOutput
Liquid Bypass	0	1	Toggle	ValueOutput
Liquid 2nd Filter Cutoff	0	4194304	Value	ValueOutput
Liquid 2nd Filter Resonance	0	4194304	Value	ValueOutput
Liquid Reverb Mix	0	4194304	Value	ValueOutput
SubBass Tune	0	4194304	Value	ValueOutput
SubBass Mix	0	4194304	Value	ValueOutput
SubBass Filter Cutoff	0	4194304	Value	ValueOutput
SubBass Filter Resonance	0	4194304	Value	ValueOutput
SubBass Filter Envelope	0	4194304	Value	ValueOutput
SubBass Bypass	0	1	Toggle	ValueOutput
SubBass 2nd Filter Cutoff	0	4194304	Value	ValueOutput
SubBass 2nd Filter Resonance	0	4194304	Value	ValueOutput
SubBass Reverb Mix	0	4194304	Value	ValueOutput
Drums Tune	0	4194304	Value	ValueOutput
Drums Mix	0	4194304	Value	ValueOutput
Drumline Shaper Drive	0	4194304	Value	ValueOutput
Drumline Shaper Bypass	0	1	Toggle	ValueOutput
Drumline Bypass	0	1	Toggle	ValueOutput
TB Tune	0	4194304	Value	ValueOutput
TB Mix	0	4194304	Value	ValueOutput
TB Filter Cutoff	0	4194304	Value	ValueOutput
TB Filter Resonance	0	4194304	Value	ValueOutput
TB Filter Envelope	0	4194304	Value	ValueOutput
TB Bypass	0	1	Toggle	ValueOutput
TB 2nd Filter Cutoff	0	4194304	Value	ValueOutput
TB 2nd Filter Resonance	0	4194304	Value	ValueOutput
TB Reverb Mix	0	4194304	Value	ValueOutput
Phaser Rate	0	4194304	Value	ValueOutput
Phaser Depth	0	4194304	Value	ValueOutput
Phaser Spread	0	4194304	Value	ValueOutput
Phaser Feedback	0	4194304	Value	ValueOutput
Phaser On/Off	0	1	Toggle	ValueOutput
Distortion Drive	0	4194304	Value	ValueOutput
Distortion Mode	0	1	Toggle	ValueOutput
Distortion Low Cut	0	4194304	Value	ValueOutput
Distortion High Cut	0	4194304	Value	ValueOutput
Distortion On/Off	0	1	Toggle	ValueOutput
Chorus Depth	0	4194304	Value	ValueOutput
