Scope
Manufacturer	Model
Studio Corbach	nl.studiocorbach.MixfoodAmbiUrban

Remotable	Min	Max	Input type	Output type
Master Volume	0	4194304	Value	ValueOutput
Filter Type General	0	1	Toggle	ValueOutput
Filter Cutoff General	0	4194304	Value	ValueOutput
Filter Resonance General	0	4194304	Value	ValueOutput
Amp Envelope Attack General	0	4194304	Value	ValueOutput
Amp Envelope Decay General	0	4194304	Value	ValueOutput
Amp Envelope Sustain General	0	4194304	Value	ValueOutput
Amp Envelope Release General	0	4194304	Value	ValueOutput
Filter Envelope Attack General	0	4194304	Value	ValueOutput
Filter Envelope Decay General	0	4194304	Value	ValueOutput
Filter Envelope Sustain General	0	4194304	Value	ValueOutput
Filter Envelope Release General	0	4194304	Value	ValueOutput
EQ 1 Q General	0	4194304	Value	ValueOutput
EQ 1 Frequency General	0	4194304	Value	ValueOutput
EQ 1 Gain General	0	4194304	Value	ValueOutput
EQ 2 Q General	0	4194304	Value	ValueOutput
EQ 2 Frequency General	0	4194304	Value	ValueOutput
EQ 2 Gain General	0	4194304	Value	ValueOutput
Phaser Rate General	0	4194304	Value	ValueOutput
Phaser Depth General	0	4194304	Value	ValueOutput
Phaser Feedback General	0	4194304	Value	ValueOutput
Phaser Center General	0	4194304	Value	ValueOutput
Phaser Spread General	0	4194304	Value	ValueOutput
Phaser Mix General	0	4194304	Value	ValueOutput
Reverb Time General	0	4194304	Value	ValueOutput
Reverb Pre General	0	4194304	Value	ValueOutput
Reverb Mix General	0	4194304	Value	ValueOutput
Reverb Low Cut General	0	4194304	Value	ValueOutput
Reverb High Cut General	0	4194304	Value	ValueOutput
Reverb Damping General	0	4194304	Value	ValueOutput
Amp Envelope Amount General	0	4194304	Value	ValueOutput
Amp Envelope Invert General	0	1	Toggle	ValueOutput
Amp Envelope Amount Generator 1	0	4194304	Value	ValueOutput
Amp Envelope Invert Generator 1	0	1	Toggle	ValueOutput
Amp Envelope Amount Generator 2	0	4194304	Value	ValueOutput
Amp Envelope Invert Generator 2	0	1	Toggle	ValueOutput
Amp Envelope Amount Generator 3	0	4194304	Value	ValueOutput
