Scope
Manufacturer	Model
KORG	jp.co.korg.MonoPoly

Remotable	Min	Max	Input type	Output type
Key Assign Hold	0	1	Toggle	ValueOutput
Key Assign Mode	0	2	Value	ValueOutput
Unison Voices	0	15	Value	ValueOutput
Total Voices	0	127	Value	ValueOutput
Voices Unison Detune	0	4194304	Value	ValueOutput
Voices Unison Spread	0	4194304	Value	ValueOutput
Voices Analog	0	4194304	Value	ValueOutput
Voices Trigger Mode	0	1	Toggle	ValueOutput
VCO 1 Wave Form	0	3	Value	ValueOutput
VCO 1 Semitone	0	48	Value	ValueOutput
VCO 1 Level	0	4194304	Value	ValueOutput
VCO 2 Tune	0	4194304	Value	ValueOutput
VCO 2 Wave Form	0	3	Value	ValueOutput
VCO 2 Semitone	0	48	Value	ValueOutput
VCO 2 Level	0	4194304	Value	ValueOutput
VCO 3 Tune	0	4194304	Value	ValueOutput
VCO 3 Wave Form	0	3	Value	ValueOutput
VCO 3 Semitone	0	48	Value	ValueOutput
VCO 3 Level	0	4194304	Value	ValueOutput
VCO 4 Tune	0	4194304	Value	ValueOutput
VCO 4 Wave Form	0	3	Value	ValueOutput
VCO 4 Semitone	0	48	Value	ValueOutput
VCO 4 Level	0	4194304	Value	ValueOutput
VCF Cutoff	0	4194304	Value	ValueOutput
VCF Resonance	0	4194304	Value	ValueOutput
VCF EG Intensity	0	4194304	Value	ValueOutput
VCF KBD Track	0	4194304	Value	ValueOutput
MG 1 Key SYNC	0	1	Toggle	ValueOutput
MG 1 Tempo SYNC	0	1	Toggle	ValueOutput
MG 1 Base Note	0	9	Value	ValueOutput
MG 1 Frequency	0	4194304	Value	ValueOutput
MG 1 Times	0	15	Value	ValueOutput
MG 1 Waveform	0	4	Value	ValueOutput
MG 2 Key SYNC	0	1	Toggle	ValueOutput
MG 2 Tempo SYNC	0	1	Toggle	ValueOutput
MG 2 Base Note	0	9	Value	ValueOutput
MG 2 Frequency	0	4194304	Value	ValueOutput
MG 2 Times	0	15	Value	ValueOutput
MG 2 Waveform	0	4	Value	ValueOutput
VCF EG Attack	0	4194304	Value	ValueOutput
VCF EG Decay	0	4194304	Value	ValueOutput
VCF EG Sustain	0	4194304	Value	ValueOutput
VCF EG Release	0	4194304	Value	ValueOutput
VCA EG Attack	0	4194304	Value	ValueOutput
VCA EG Decay	0	4194304	Value	ValueOutput
VCA EG Sustain	0	4194304	Value	ValueOutput
VCA EG Release	0	4194304	Value	ValueOutput
Output Pan	0	4194304	Value	ValueOutput
Output Volume	0	4194304	Value	ValueOutput
Arpeggio	0	1	Toggle	ValueOutput
ARP Range	0	2	Value	ValueOutput
ARP Mode	0	3	Value	ValueOutput
ARP Latch	0	1	Toggle	ValueOutput
PWM SRC Bipolar	0	1	Toggle	ValueOutput
PWM Source	0	2	Value	ValueOutput
PWM Intensity	0	4194304	Value	ValueOutput
VCO MOD X-MOD Intensity	0	4194304	Value	ValueOutput
VCO MOD FREQ MOD INT	0	4194304	Value	ValueOutput
VCO MOD FREQ MOD Bipolar	0	1	Toggle	ValueOutput
VCO MOD FREQ MOD Source	0	1	Toggle	ValueOutput
VCO Modulation	0	1	Toggle	ValueOutput
VCO MOD Type	0	2	Value	ValueOutput
VCO MOD Mode	0	1	Toggle	ValueOutput
Virtual Patch Source 1	0	159	Value	ValueOutput
Virtual Patch Destination 1	0	35	Value	ValueOutput
Virtual Patch Intensity 1	0	4194304	Value	ValueOutput
Virtual Patch Source 2	0	159	Value	ValueOutput
Virtual Patch Destination 2	0	35	Value	ValueOutput
Virtual Patch Intensity 2	0	4194304	Value	ValueOutput
Virtual Patch Source 3	0	159	Value	ValueOutput
Virtual Patch Destination 3	0	35	Value	ValueOutput
Virtual Patch Intensity 3	0	4194304	Value	ValueOutput
Virtual Patch Source 4	0	159	Value	ValueOutput
Virtual Patch Destination 4	0	35	Value	ValueOutput
Virtual Patch Intensity 4	0	4194304	Value	ValueOutput
Virtual Patch Source 5	0	159	Value	ValueOutput
Virtual Patch Destination 5	0	35	Value	ValueOutput
Virtual Patch Intensity 5	0	4194304	Value	ValueOutput
Virtual Patch Source 6	0	159	Value	ValueOutput
Virtual Patch Destination 6	0	35	Value	ValueOutput
Virtual Patch Intensity 6	0	4194304	Value	ValueOutput
Virtual Patch Source 7	0	159	Value	ValueOutput
Virtual Patch Destination 7	0	35	Value	ValueOutput
Virtual Patch Intensity 7	0	4194304	Value	ValueOutput
Virtual Patch Source 8	0	159	Value	ValueOutput
Virtual Patch Destination 8	0	35	Value	ValueOutput
Virtual Patch Intensity 8	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Portamento	0	4194304	Value	ValueOutput
Detune	0	4194304	Value	ValueOutput
PW Width	0	4194304	Value	ValueOutput
Pitch Bend Range	0	4194304	Value	ValueOutput
Transpose	0	48	Value	ValueOutput
Master Tune	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
