Scope
Manufacturer	Model
Zvork	fr.zvork.Oberton

Remotable	Min	Max	Input type	Output type
Amp. Env. - Monohonic Trigger	0	1	Toggle	ValueOutput
Amp. Env. - Loop	0	1	Toggle	ValueOutput
Amp. Env. - Tempo Synced	0	1	Toggle	ValueOutput
Amp. Env. - Point Count	0	14	Value	ValueOutput
Amp. Env. - Sustain Point	0	15	Value	ValueOutput
Amp. Env. - Level 1	0	4194304	Value	ValueOutput
Amp. Env. - Level 2	0	4194304	Value	ValueOutput
Amp. Env. - Level 3	0	4194304	Value	ValueOutput
Amp. Env. - Level 4	0	4194304	Value	ValueOutput
Amp. Env. - Level 5	0	4194304	Value	ValueOutput
Amp. Env. - Level 6	0	4194304	Value	ValueOutput
Amp. Env. - Level 7	0	4194304	Value	ValueOutput
Amp. Env. - Level 8	0	4194304	Value	ValueOutput
Amp. Env. - Level 9	0	4194304	Value	ValueOutput
Amp. Env. - Level 10	0	4194304	Value	ValueOutput
Amp. Env. - Level 11	0	4194304	Value	ValueOutput
Amp. Env. - Level 12	0	4194304	Value	ValueOutput
Amp. Env. - Level 13	0	4194304	Value	ValueOutput
Amp. Env. - Level 14	0	4194304	Value	ValueOutput
Amp. Env. - Level 15	0	4194304	Value	ValueOutput
Amp. Env. - Level 16	0	4194304	Value	ValueOutput
Amp. Env. - Duration 1	0	4194304	Value	ValueOutput
Amp. Env. - Duration 2	0	4194304	Value	ValueOutput
Amp. Env. - Duration 3	0	4194304	Value	ValueOutput
Amp. Env. - Duration 4	0	4194304	Value	ValueOutput
Amp. Env. - Duration 5	0	4194304	Value	ValueOutput
Amp. Env. - Duration 6	0	4194304	Value	ValueOutput
Amp. Env. - Duration 7	0	4194304	Value	ValueOutput
Amp. Env. - Duration 8	0	4194304	Value	ValueOutput
Amp. Env. - Duration 9	0	4194304	Value	ValueOutput
Amp. Env. - Duration 10	0	4194304	Value	ValueOutput
Amp. Env. - Duration 11	0	4194304	Value	ValueOutput
Amp. Env. - Duration 12	0	4194304	Value	ValueOutput
Amp. Env. - Duration 13	0	4194304	Value	ValueOutput
Amp. Env. - Duration 14	0	4194304	Value	ValueOutput
Amp. Env. - Duration 15	0	4194304	Value	ValueOutput
Amp. Env. - Loop Start Point	0	15	Value	ValueOutput
Display Mode	0	14	-	ValueOutput
Filter 1 Frequency	0	4194304	Value	ValueOutput
Filter 1 X>Y	0	4194304	Value	ValueOutput
Filter 1 Frequency - Kbd. Tracking	0	4194304	Value	ValueOutput
Filter 1 Frequency - Mod. Env. 1 Strength	0	4194304	Value	ValueOutput
Filter 1 Frequency - Velocity Modulation	0	4194304	Value	ValueOutput
Filter 2 Frequency	0	4194304	Value	ValueOutput
Filter 2 X>Y	0	4194304	Value	ValueOutput
Filter 2 Frequency - Kbd. Tracking	0	4194304	Value	ValueOutput
Filter 2 Frequency - Mod. Env. 2 Strength	0	4194304	Value	ValueOutput
Filter 2 Frequency - Velocity Modulation	0	4194304	Value	ValueOutput
LFO 1 Key Sync.	0	1	Toggle	ValueOutput
LFO 1 Tempo Sync.	0	1	Toggle	ValueOutput
LFO 1 Frequency	0	4194304	Value	ValueOutput
LFO 1 Freq. Synced	0	17	Value	ValueOutput
LFO 1 Shape	0	20	Value	ValueOutput
LFO 1 Delay	0	4194304	Value	ValueOutput
LFO 1 Rise	0	4194304	Value	ValueOutput
LFO 2 Key Sync.	0	1	Toggle	ValueOutput
LFO 2 Tempo Sync.	0	1	Toggle	ValueOutput
LFO 2 Frequency	0	4194304	Value	ValueOutput
LFO 2 Freq. Synced	0	17	Value	ValueOutput
LFO 2 Shape	0	20	Value	ValueOutput
LFO 2 Delay	0	4194304	Value	ValueOutput
LFO 2 Rise	0	4194304	Value	ValueOutput
Mod. Env. 1 - Monophonic	0	1	Toggle	ValueOutput
Mod. Env. 1 - Loop	0	1	Toggle	ValueOutput
Mod. Env. 1 - Tempo Synced	0	1	Toggle	ValueOutput
Mod. Env. 1 - Point Count	0	14	Value	ValueOutput
Mod. Env. 1 - Sustain Point	0	15	Value	ValueOutput
Mod. Env. 1 - Level 1	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 2	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 3	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 4	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 5	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 6	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 7	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 8	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 9	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 10	0	4194304	Value	ValueOutput
Mod. Env. 1 - Level 11	0	4194304	Value	ValueOutput
