Scope
Manufacturer	Model
Skrock Music	se.skrockmusic.Orbis

Remotable	Min	Max	Input type	Output type
Master Volume	0	4194304	Value	ValueOutput
Voices	0	3	Value	ValueOutput
Tune Shift	0	4194304	Value	ValueOutput
High Shelf	0	4194304	Value	ValueOutput
Osc One Wave	0	14	Value	ValueOutput
Osc One Pitch LFO Rate	0	4194304	Value	ValueOutput
Osc One Pitch LFO Amt	0	4194304	Value	ValueOutput
Osc One Pitch LFO Attack	0	4194304	Value	ValueOutput
Osc One Start Env Amt	0	4194304	Value	ValueOutput
Osc One Start Env Attack	0	4194304	Value	ValueOutput
Osc One Start Env Decay	0	4194304	Value	ValueOutput
Osc One Start Env Sustain	0	4194304	Value	ValueOutput
Osc One Start Env Release	0	4194304	Value	ValueOutput
Osc One Volume	0	4194304	Value	ValueOutput
Osc One Start	0	4194304	Value	ValueOutput
Osc One Start Velocity	0	4194304	Value	ValueOutput
Osc One Tune	0	4194304	Value	ValueOutput
Osc One Detune	0	4194304	Value	ValueOutput
Osc One Start Offset	0	4194304	Value	ValueOutput
Osc One Spread	0	4194304	Value	ValueOutput
Osc One Drive	0	4194304	Value	ValueOutput
Osc One Start LFO Amt	0	4194304	Value	ValueOutput
Osc One Start LFO Rate	0	4194304	Value	ValueOutput
Osc One Start LFO Retrig	0	1	Toggle	ValueOutput
Osc Two Wave	0	14	Value	ValueOutput
Osc Two Pitch LFO Rate	0	4194304	Value	ValueOutput
Osc Two Pitch LFO Amt	0	4194304	Value	ValueOutput
Osc Two Pitch LFO Attack	0	4194304	Value	ValueOutput
Osc Two Start Env Amt	0	4194304	Value	ValueOutput
Osc Two Start Env Attack	0	4194304	Value	ValueOutput
Osc Two Start Env Decay	0	4194304	Value	ValueOutput
Osc Two Start Env Sustain	0	4194304	Value	ValueOutput
Osc Two Start Env Release	0	4194304	Value	ValueOutput
Osc Two Volume	0	4194304	Value	ValueOutput
Osc Two Start	0	4194304	Value	ValueOutput
