Scope
Manufacturer	Model
Reveal Sound	com.revealSound.ReSpire

Remotable	Min	Max	Input type	Output type
Mix Osc 1	0	4194304	Value	ValueOutput
Osc 1 Mute	0	1	Toggle	ValueOutput
Osc 1 Type	0	6	Value	ValueOutput
Osc 1 Note	0	4194304	Value	ValueOutput
Osc 1 Fine	0	4194304	Value	ValueOutput
Osc 1 ctrlA	0	4194304	Value	ValueOutput
Osc 1 ctrlB	0	4194304	Value	ValueOutput
Osc 1 Wtmix	0	4194304	Value	ValueOutput
Osc 1 Wave	0	48	Value	ValueOutput
Osc 1 Phase	0	4194304	Value	ValueOutput
Osc 1 Udet	0	4194304	Value	ValueOutput
Osc 1 Uden	0	4194304	Value	ValueOutput
Osc 1 Ucnt	0	8	Value	ValueOutput
Osc 1 Uoct	0	17	Value	ValueOutput
Osc 1 Uwid	0	4194304	Value	ValueOutput
Osc 1 Pan	0	4194304	Value	ValueOutput
Osc 1 Mixto	0	4194304	Value	ValueOutput
Mix Osc 2	0	4194304	Value	ValueOutput
Osc 2 Mute	0	1	Toggle	ValueOutput
Osc 2 Type	0	6	Value	ValueOutput
Osc 2 Note	0	4194304	Value	ValueOutput
Osc 2 Fine	0	4194304	Value	ValueOutput
Osc 2 ctrlA	0	4194304	Value	ValueOutput
Osc 2 ctrlB	0	4194304	Value	ValueOutput
Osc 2 Wtmix	0	4194304	Value	ValueOutput
Osc 2 Wave	0	48	Value	ValueOutput
Osc 2 Phase	0	4194304	Value	ValueOutput
Osc 2 Udet	0	4194304	Value	ValueOutput
Osc 2 Uden	0	4194304	Value	ValueOutput
Osc 2 Ucnt	0	8	Value	ValueOutput
Osc 2 Uoct	0	17	Value	ValueOutput
Osc 2 Uwid	0	4194304	Value	ValueOutput
Osc 2 Pan	0	4194304	Value	ValueOutput
Osc 2 Mixto	0	4194304	Value	ValueOutput
Mix Osc 3	0	4194304	Value	ValueOutput
Osc 3 Mute	0	1	Toggle	ValueOutput
Osc 3 Type	0	6	Value	ValueOutput
Osc 3 Note	0	4194304	Value	ValueOutput
Osc 3 Fine	0	4194304	Value	ValueOutput
Osc 3 ctrlA	0	4194304	Value	ValueOutput
Osc 3 ctrlB	0	4194304	Value	ValueOutput
Osc 3 Wtmix	0	4194304	Value	ValueOutput
Osc 3 Wave	0	48	Value	ValueOutput
Osc 3 Phase	0	4194304	Value	ValueOutput
Osc 3 Udet	0	4194304	Value	ValueOutput
Osc 3 Uden	0	4194304	Value	ValueOutput
Osc 3 Ucnt	0	8	Value	ValueOutput
Osc 3 Uoct	0	17	Value	ValueOutput
Osc 3 Uwid	0	4194304	Value	ValueOutput
Osc 3 Pan	0	4194304	Value	ValueOutput
Osc 3 Mixto	0	4194304	Value	ValueOutput
Mix Osc 4	0	4194304	Value	ValueOutput
Osc 4 Mute	0	1	Toggle	ValueOutput
Osc 4 Type	0	6	Value	ValueOutput
Osc 4 Note	0	4194304	Value	ValueOutput
Osc 4 Fine	0	4194304	Value	ValueOutput
Osc 4 ctrlA	0	4194304	Value	ValueOutput
Osc 4 ctrlB	0	4194304	Value	ValueOutput
Osc 4 Wtmix	0	4194304	Value	ValueOutput
Osc 4 Wave	0	48	Value	ValueOutput
Osc 4 Phase	0	4194304	Value	ValueOutput
Osc 4 Udet	0	4194304	Value	ValueOutput
Osc 4 Uden	0	4194304	Value	ValueOutput
Osc 4 Ucnt	0	8	Value	ValueOutput
Osc 4 Uoct	0	17	Value	ValueOutput
Osc 4 Uwid	0	4194304	Value	ValueOutput
Osc 4 Pan	0	4194304	Value	ValueOutput
Osc 4 Mixto	0	4194304	Value	ValueOutput
Env1 Att	0	4194304	Value	ValueOutput
Env1 Dec	0	4194304	Value	ValueOutput
Env1 Sus	0	4194304	Value	ValueOutput
Env1 Sll	0	4194304	Value	ValueOutput
Env1 Slt	0	4194304	Value	ValueOutput
Env1 Rel	0	4194304	Value	ValueOutput
Env2 Att	0	4194304	Value	ValueOutput
Env2 Dec	0	4194304	Value	ValueOutput
Env2 Sus	0	4194304	Value	ValueOutput
Env2 Sll	0	4194304	Value	ValueOutput
Env2 Slt	0	4194304	Value	ValueOutput
Env2 Rel	0	4194304	Value	ValueOutput
Env3 Att	0	4194304	Value	ValueOutput
Env3 Dec	0	4194304	Value	ValueOutput
Env3 Sus	0	4194304	Value	ValueOutput
Env3 Sll	0	4194304	Value	ValueOutput
