Scope
Manufacturer	Model
Propellerheads	Redrum Drum Computer

Remotable	Min	Max	Input type	Output type
Master Level	0	127	Value	ValueOutput
Drum 1 Mute	0	1	Toggle	ValueOutput
Drum 2 Mute	0	1	Toggle	ValueOutput
Drum 3 Mute	0	1	Toggle	ValueOutput
Drum 4 Mute	0	1	Toggle	ValueOutput
Drum 5 Mute	0	1	Toggle	ValueOutput
Drum 6 Mute	0	1	Toggle	ValueOutput
Drum 7 Mute	0	1	Toggle	ValueOutput
Drum 8 Mute	0	1	Toggle	ValueOutput
Drum 9 Mute	0	1	Toggle	ValueOutput
Drum 10 Mute	0	1	Toggle	ValueOutput
Drum 1 is playing	0	1	-	ValueOutput
Drum 2 is playing	0	1	-	ValueOutput
Drum 3 is playing	0	1	-	ValueOutput
Drum 4 is playing	0	1	-	ValueOutput
Drum 5 is playing	0	1	-	ValueOutput
Drum 6 is playing	0	1	-	ValueOutput
Drum 7 is playing	0	1	-	ValueOutput
Drum 8 is playing	0	1	-	ValueOutput
Drum 9 is playing	0	1	-	ValueOutput
Drum 10 is playing	0	1	-	ValueOutput
Drum 1 Send 1 Amount	0	127	Value	ValueOutput
Drum 2 Send 1 Amount	0	127	Value	ValueOutput
Drum 3 Send 1 Amount	0	127	Value	ValueOutput
Drum 4 Send 1 Amount	0	127	Value	ValueOutput
Drum 5 Send 1 Amount	0	127	Value	ValueOutput
Drum 6 Send 1 Amount	0	127	Value	ValueOutput
Drum 7 Send 1 Amount	0	127	Value	ValueOutput
Drum 8 Send 1 Amount	0	127	Value	ValueOutput
Drum 9 Send 1 Amount	0	127	Value	ValueOutput
Drum 10 Send 1 Amount	0	127	Value	ValueOutput
Drum 1 Send 2 Amount	0	127	Value	ValueOutput
Drum 2 Send 2 Amount	0	127	Value	ValueOutput
Drum 3 Send 2 Amount	0	127	Value	ValueOutput
Drum 4 Send 2 Amount	0	127	Value	ValueOutput
Drum 5 Send 2 Amount	0	127	Value	ValueOutput
Drum 6 Send 2 Amount	0	127	Value	ValueOutput
Drum 7 Send 2 Amount	0	127	Value	ValueOutput
Drum 8 Send 2 Amount	0	127	Value	ValueOutput
Drum 9 Send 2 Amount	0	127	Value	ValueOutput
Drum 10 Send 2 Amount	0	127	Value	ValueOutput
Drum 1 Pan	-64	63	Value	ValueOutput
Drum 2 Pan	-64	63	Value	ValueOutput
Drum 3 Pan	-64	63	Value	ValueOutput
Drum 4 Pan	-64	63	Value	ValueOutput
Drum 5 Pan	-64	63	Value	ValueOutput
Drum 6 Pan	-64	63	Value	ValueOutput
Drum 7 Pan	-64	63	Value	ValueOutput
Drum 8 Pan	-64	63	Value	ValueOutput
Drum 9 Pan	-64	63	Value	ValueOutput
Drum 10 Pan	-64	63	Value	ValueOutput
Drum 1 Level	0	127	Value	ValueOutput
Drum 2 Level	0	127	Value	ValueOutput
Drum 3 Level	0	127	Value	ValueOutput
Drum 4 Level	0	127	Value	ValueOutput
Drum 5 Level	0	127	Value	ValueOutput
Drum 6 Level	0	127	Value	ValueOutput
Drum 7 Level	0	127	Value	ValueOutput
Drum 8 Level	0	127	Value	ValueOutput
Drum 9 Level	0	127	Value	ValueOutput
Drum 10 Level	0	127	Value	ValueOutput
Drum 1 Vel to Level	-64	63	Value	ValueOutput
Drum 2 Vel to Level	-64	63	Value	ValueOutput
Drum 3 Vel to Level	-64	63	Value	ValueOutput
Drum 4 Vel to Level	-64	63	Value	ValueOutput
Drum 5 Vel to Level	-64	63	Value	ValueOutput
Drum 6 Vel to Level	-64	63	Value	ValueOutput
Drum 7 Vel to Level	-64	63	Value	ValueOutput
Drum 8 Vel to Level	-64	63	Value	ValueOutput
Drum 9 Vel to Level	-64	63	Value	ValueOutput
Drum 10 Vel to Level	-64	63	Value	ValueOutput
Drum 1 Length	0	127	Value	ValueOutput
Drum 2 Length	0	127	Value	ValueOutput
Drum 3 Length	0	127	Value	ValueOutput
Drum 4 Length	0	127	Value	ValueOutput
Drum 5 Length	0	127	Value	ValueOutput
Drum 6 Length	0	127	Value	ValueOutput
Drum 7 Length	0	127	Value	ValueOutput
Drum 8 Length	0	127	Value	ValueOutput
Drum 9 Length	0	127	Value	ValueOutput
Drum 10 Length	0	127	Value	ValueOutput
Drum 1 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 2 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 3 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 4 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 5 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 6 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 7 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 8 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 9 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 10 Decay/Gate Mode	0	1	Toggle	ValueOutput
Drum 1 Pitch	-64	63	Value	ValueOutput
Drum 2 Pitch	-64	63	Value	ValueOutput
Drum 3 Pitch	-64	63	Value	ValueOutput
Drum 4 Pitch	-64	63	Value	ValueOutput
Drum 5 Pitch	-64	63	Value	ValueOutput
Drum 6 Pitch	-64	63	Value	ValueOutput
Drum 7 Pitch	-64	63	Value	ValueOutput
Drum 8 Pitch	-64	63	Value	ValueOutput
Drum 9 Pitch	-64	63	Value	ValueOutput
Drum 10 Pitch	-64	63	Value	ValueOutput
Drum 6 Pitch Bend Amount	-64	63	Value	ValueOutput
Drum 7 Pitch Bend Amount	-64	63	Value	ValueOutput
Drum 6 Vel to Pitch Bend	-64	63	Value	ValueOutput
Drum 7 Vel to Pitch Bend	-64	63	Value	ValueOutput
Drum 6 Pitch Bend Rate	0	127	Value	ValueOutput
Drum 7 Pitch Bend Rate	0	127	Value	ValueOutput
Drum 1 Tone	-64	63	Value	ValueOutput
Drum 2 Tone	-64	63	Value	ValueOutput
Drum 10 Tone	-64	63	Value	ValueOutput
Drum 1 Vel to Tone	-64	63	Value	ValueOutput
Drum 2 Vel to Tone	-64	63	Value	ValueOutput
Drum 10 Vel to Tone	-64	63	Value	ValueOutput
Drum 3 Sample Start	0	127	Value	ValueOutput
Drum 4 Sample Start	0	127	Value	ValueOutput
Drum 5 Sample Start	0	127	Value	ValueOutput
Drum 8 Sample Start	0	127	Value	ValueOutput
Drum 9 Sample Start	0	127	Value	ValueOutput
Drum 3 Vel to Sample Start	-64	63	Value	ValueOutput
Drum 4 Vel to Sample Start	-64	63	Value	ValueOutput
Drum 5 Vel to Sample Start	-64	63	Value	ValueOutput
Drum 8 Vel to Sample Start	-64	63	Value	ValueOutput
Drum 9 Vel to Sample Start	-64	63	Value	ValueOutput
Channel 8 and 9 Exclusive	0	1	Toggle	ValueOutput
High Quality Interpolation	0	1	Toggle	ValueOutput
Enable Pattern Section Playback	0	1	Toggle	ValueOutput
Pattern Enable	0	1	Toggle	ValueOutput
Selected Pattern	-1	31	Value	ValueOutput
Step Playing	0	63	-	ValueOutput
Flam Amount	0	127	Value	ValueOutput
Drum 1 Solo	0	1	Toggle	ValueOutput
Drum 2 Solo	0	1	Toggle	ValueOutput
Drum 3 Solo	0	1	Toggle	ValueOutput
Drum 4 Solo	0	1	Toggle	ValueOutput
Drum 5 Solo	0	1	Toggle	ValueOutput
Drum 6 Solo	0	1	Toggle	ValueOutput
Drum 7 Solo	0	1	Toggle	ValueOutput
Drum 8 Solo	0	1	Toggle	ValueOutput
Drum 9 Solo	0	1	Toggle	ValueOutput
Drum 10 Solo	0	1	Toggle	ValueOutput
Sample Loading Progress	-1	127	-	ValueOutput
