Scope
Manufacturer	Model
Robotic Bean	com.roboticbean.Resonans

Remotable	Min	Max	Input type	Output type
Impulse Level	0	4194304	Value	ValueOutput
Impulse Velocity Sensitivity	0	4194304	Value	ValueOutput
Audio Input Level	0	4194304	Value	ValueOutput
Detect Transients	0	1	Toggle	ValueOutput
Sampler Keyboard Tracking	0	4194304	Value	ValueOutput
Sampler Transpose Semitones	0	96	Value	ValueOutput
Sampler On/Off	0	1	Toggle	ValueOutput
Filter Mode	0	2	Value	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Filter Keyboard Tracking	0	4194304	Value	ValueOutput
Model	0	3	Value	ValueOutput
Structure	0	4194304	Value	ValueOutput
Brightness	0	4194304	Value	ValueOutput
Damping	0	4194304	Value	ValueOutput
Position	0	4194304	Value	ValueOutput
Brightness Velocity Sensitivity	0	4194304	Value	ValueOutput
Damping Sustain Pedal Sensitivity	0	4194304	Value	ValueOutput
Position Randomness	0	4194304	Value	ValueOutput
Octave	0	8	Value	ValueOutput
Semitone	0	24	Value	ValueOutput
Cent	0	100	Value	ValueOutput
Sub Oscillator Octave	0	2	Value	ValueOutput
Model Level	0	4194304	Value	ValueOutput
Sub Oscillator Level	0	4194304	Value	ValueOutput
Amp Gain	0	4194304	Value	ValueOutput
Spread	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Envelope 1 Attack	0	4194304	Value	ValueOutput
Envelope 1 Decay	0	4194304	Value	ValueOutput
Envelope 1 Sustain	0	4194304	Value	ValueOutput
Envelope 1 Release	0	4194304	Value	ValueOutput
Envelope 1 Level	0	4194304	Value	ValueOutput
Envelope 1 to Impulse Level	0	1	Toggle	ValueOutput
Envelope 2 Delay	0	4194304	Value	ValueOutput
Envelope 2 Attack	0	4194304	Value	ValueOutput
Envelope 2 Hold	0	4194304	Value	ValueOutput
Envelope 2 Decay	0	4194304	Value	ValueOutput
Envelope 2 Sustain	0	4194304	Value	ValueOutput
Envelope 2 Release	0	4194304	Value	ValueOutput
Envelope 2 Loop	0	1	Toggle	ValueOutput
Envelope 2 Tempo Sync	0	1	Toggle	ValueOutput
Envelope 2 Tempo Synced Delay	0	16	Value	ValueOutput
Envelope 2 Tempo Synced Attack	0	16	Value	ValueOutput
Envelope 2 Tempo Synced Hold	0	16	Value	ValueOutput
Envelope 2 Tempo Synced Decay	0	16	Value	ValueOutput
Envelope 2 Tempo Synced Release	0	16	Value	ValueOutput
Key Switch 1 Trigger	0	1	Toggle	ValueOutput
Key Switch 1 Key	0	128	Value	ValueOutput
Key Switch 2 Trigger	0	1	Toggle	ValueOutput
Key Switch 2 Key	0	128	Value	ValueOutput
Velocity Switch Trigger	0	1	Toggle	ValueOutput
Velocity Switch Threshold	0	128	Value	ValueOutput
LFO Waveform	0	4	Value	ValueOutput
LFO Phase	0	4194304	Value	ValueOutput
LFO Lag	0	4194304	Value	ValueOutput
LFO Retrig	0	1	Toggle	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Tempo Sync	0	1	Toggle	ValueOutput
