Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.ScenicHybrid

Remotable	Min	Max	Input type	Output type
EA_OnOff	0	1	Toggle	ValueOutput
EA_Start_Pos	0	4194304	Value	ValueOutput
EA_Pitch	0	4194304	Value	ValueOutput
EA_Granular_Rate	0	4194304	Value	ValueOutput
EA_Granular_Size	0	4194304	Value	ValueOutput
EA_Granular_Random_Pitch	0	4194304	Value	ValueOutput
EA_Granular_Random_Pos	0	4194304	Value	ValueOutput
EA_Filter_OnOff	0	1	Toggle	ValueOutput
EA_FilterType	0	5	Value	ValueOutput
EA_Frequency	0	4194304	Value	ValueOutput
EA_Resonance	0	4194304	Value	ValueOutput
EA_FilterEnv_ModInt	0	4194304	Value	ValueOutput
EA_Velocity_ModInt	0	4194304	Value	ValueOutput
EA_Keyboard_ModInt	0	4194304	Value	ValueOutput
EA_FilterEnv_Attack	0	4194304	Value	ValueOutput
EA_FilterEnv_Decay	0	4194304	Value	ValueOutput
EA_FilterEnv_Sustain	0	4194304	Value	ValueOutput
EA_FilterEnv_Release	0	4194304	Value	ValueOutput
EA_Volume	0	4194304	Value	ValueOutput
EA_Velocity	0	4194304	Value	ValueOutput
EA_Pan	0	4194304	Value	ValueOutput
EA_AmpEnv_Attack	0	4194304	Value	ValueOutput
EA_AmpEnv_Decay	0	4194304	Value	ValueOutput
EA_AmpEnv_Sustain	0	4194304	Value	ValueOutput
EA_AmpEnv_Release	0	4194304	Value	ValueOutput
EB_OnOff	0	1	Toggle	ValueOutput
EB_Start_Pos	0	4194304	Value	ValueOutput
EB_Pitch	0	4194304	Value	ValueOutput
EB_Granular_Rate	0	4194304	Value	ValueOutput
EB_Granular_Size	0	4194304	Value	ValueOutput
EB_Granular_Random_Pitch	0	4194304	Value	ValueOutput
EB_Granular_Random_Pos	0	4194304	Value	ValueOutput
EB_Filter_OnOff	0	1	Toggle	ValueOutput
EB_FilterType	0	5	Value	ValueOutput
EB_Frequency	0	4194304	Value	ValueOutput
EB_Resonance	0	4194304	Value	ValueOutput
EB_FilterEnv_ModInt	0	4194304	Value	ValueOutput
EB_Velocity_ModInt	0	4194304	Value	ValueOutput
EB_Keyboard_ModInt	0	4194304	Value	ValueOutput
EB_FilterEnv_Attack	0	4194304	Value	ValueOutput
EB_FilterEnv_Decay	0	4194304	Value	ValueOutput
EB_FilterEnv_Sustain	0	4194304	Value	ValueOutput
EB_FilterEnv_Release	0	4194304	Value	ValueOutput
EB_Volume	0	4194304	Value	ValueOutput
EB_Velocity	0	4194304	Value	ValueOutput
EB_Pan	0	4194304	Value	ValueOutput
EB_AmpEnv_Attack	0	4194304	Value	ValueOutput
EB_AmpEnv_Decay	0	4194304	Value	ValueOutput
EB_AmpEnv_Sustain	0	4194304	Value	ValueOutput
EB_AmpEnv_Release	0	4194304	Value	ValueOutput
EA_InsertFX_OnOff	0	1	Toggle	ValueOutput
EA_InsertFX_Chorus_OnOff	0	1	Toggle	ValueOutput
EA_InsertFX_Chorus_Rate	0	4194304	Value	ValueOutput
EA_InsertFX_Chorus_Depth	0	4194304	Value	ValueOutput
EA_InsertFX_Chorus_Man	0	4194304	Value	ValueOutput
EA_InsertFX_Chorus_Voices	0	3	Value	ValueOutput
EA_InsertFX_Chorus_Mix	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_OnOff	0	1	Toggle	ValueOutput
EA_InsertFX_Phaser_Rate	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_Depth	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_Feedback	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_Man	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_Spread	0	4194304	Value	ValueOutput
EA_InsertFX_Phaser_Mix	0	4194304	Value	ValueOutput
EA_InsertFX_Sat_OnOff	0	1	Toggle	ValueOutput
EA_InsertFX_Sat_Threshold	0	4194304	Value	ValueOutput
EA_InsertFX_Sat_Drive	0	4194304	Value	ValueOutput
EA_InsertFX_Sat_Density	0	4194304	Value	ValueOutput
EA_InsertFX_Sat_HighBypass	0	4194304	Value	ValueOutput
