Scope
Manufacturer	Model
e-instruments	com.eInstruments.StringWerk

Remotable	Min	Max	Input type	Output type
Instrument Volume	0	4194304	Value	ValueOutput
Instrument Attack Time	0	4194304	Value	ValueOutput
Instrument Release Time	0	4194304	Value	ValueOutput
Pitch Bend Mode	0	1	Toggle	ValueOutput
Legato	0	1	Toggle	ValueOutput
Articulation Button1	0	1	Toggle	ValueOutput
Articulation Button2	0	1	Toggle	ValueOutput
Articulation Button3	0	1	Toggle	ValueOutput
Articulation Button4	0	1	Toggle	ValueOutput
Articulation Button5	0	1	Toggle	ValueOutput
Articulation Button6	0	1	Toggle	ValueOutput
Articulation Button7	0	1	Toggle	ValueOutput
Animator Direction	0	3	Value	ValueOutput
Animator Step Count	0	4194304	Value	ValueOutput
Animator Swing	0	4194304	Value	ValueOutput
Animator Measure	0	5	Value	ValueOutput
EQ Active	0	1	Toggle	ValueOutput
EQ Low Gain	0	4194304	Value	ValueOutput
EQ Mid Gain	0	4194304	Value	ValueOutput
EQ High Gain	0	4194304	Value	ValueOutput
Compressor Active	0	1	Toggle	ValueOutput
Compressor Threshold	0	4194304	Value	ValueOutput
Compressor Ratio	0	4194304	Value	ValueOutput
Compressor Attack	0	4194304	Value	ValueOutput
Delay Active	0	1	Toggle	ValueOutput
Delay Time	0	5	Value	ValueOutput
Delay Feedback	0	4194304	Value	ValueOutput
Delay Amount	0	4194304	Value	ValueOutput
Reverb Active	0	1	Toggle	ValueOutput
Reverb Length	0	4194304	Value	ValueOutput
Reverb Dry Wet	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
