Scope
Manufacturer	Model
Rob Papen	com.robpapen.SubBoomBassRE

Remotable	Min	Max	Input type	Output type
Main Volume	0	4194304	Value	ValueOutput
Panning	0	4194304	Value	ValueOutput
Pitch Bend Up	0	15	Value	ValueOutput
Pitch Bend Down	0	15	Value	ValueOutput
Play Mode	0	5	Value	ValueOutput
Unison Mode	0	7	Value	ValueOutput
Unison Amount	0	4194304	Value	ValueOutput
Port Mode	0	4	Value	ValueOutput
Port Speed	0	4194304	Value	ValueOutput
Pitch LFO Wave	0	5	Value	ValueOutput
Pitch LFO Sync	0	1	Toggle	ValueOutput
Pitch LFO Speed (ms)	0	4194304	Value	ValueOutput
Pitch LFO Speed (qb)	0	30	Value	ValueOutput
Pitch LFO Amount	0	4194304	Value	ValueOutput
Pitch LFO Mod Source	0	37	Value	ValueOutput
Pitch LFO Amount Control	0	4194304	Value	ValueOutput
Velocity > Volume	0	4194304	Value	ValueOutput
Volume Envelope Attack	0	4194304	Value	ValueOutput
Volume Envelope Decay	0	4194304	Value	ValueOutput
Volume Envelope Sustain	0	4194304	Value	ValueOutput
Volume Envelope Fade	0	4194304	Value	ValueOutput
Volume Envelope Release	0	4194304	Value	ValueOutput
Decay / Release Shape	0	4194304	Value	ValueOutput
Osc 1 Type	0	64	Value	ValueOutput
Osc 1 On	0	1	Toggle	ValueOutput
Osc 1 Free Running	0	1	Toggle	ValueOutput
Osc 1 Keytracking	0	1	Toggle	ValueOutput
Osc 1 Output	0	1	Toggle	ValueOutput
Osc 1 Volume	0	4194304	Value	ValueOutput
Osc 1 Symmetry	0	4194304	Value	ValueOutput
Osc 1 Sub-Osc Volume (Sine / Square)	0	4194304	Value	ValueOutput
Osc 1 Octave	0	4	Value	ValueOutput
Osc 1 Semi	0	96	Value	ValueOutput
Osc 1 Fine	0	4194304	Value	ValueOutput
Osc 1 PWM Amount	0	4194304	Value	ValueOutput
Osc 1 PWM Speed	0	4194304	Value	ValueOutput
Osc 2 Type	0	64	Value	ValueOutput
Osc 2 On	0	1	Toggle	ValueOutput
Osc 2 Free Running	0	1	Toggle	ValueOutput
Osc 2 Keytracking	0	1	Toggle	ValueOutput
Osc 2 Sync	0	1	Toggle	ValueOutput
Osc 2 Volume	0	4194304	Value	ValueOutput
Osc 2 Symmetry	0	4194304	Value	ValueOutput
Osc 2 Sub-Osc Volume (Sine / Square)	0	4194304	Value	ValueOutput
Osc 2 Octave	0	4	Value	ValueOutput
Osc 2 Semi	0	96	Value	ValueOutput
Osc 2 Fine	0	4194304	Value	ValueOutput
Osc 2 PWM Amount	0	4194304	Value	ValueOutput
Osc 2 PWM Speed	0	4194304	Value	ValueOutput
Osc 2 FM Mode	0	2	Value	ValueOutput
Osc 2 FM Amount	0	4194304	Value	ValueOutput
Filter 1 Type	0	14	Value	ValueOutput
Filter 2 Type	0	6	Value	ValueOutput
Filter Path	0	2	Value	ValueOutput
Filter 1 Frequency	0	4194304	Value	ValueOutput
Filter 1 Resonance	0	4194304	Value	ValueOutput
Filter 1 Vowel	0	4	Value	ValueOutput
Filter 1 Distortion	0	4194304	Value	ValueOutput
Filter 1 Key Tracking	0	4194304	Value	ValueOutput
Velocity > Filter Frequency	0	4194304	Value	ValueOutput
