Scope
Manufacturer	Model
Propellerheads	Thor Polysonic Synthesizer

Remotable	Min	Max	Input type	Output type
Mod Wheel	0	127	Value	ValueOutput
Pitch Bend Range	0	24	Value	ValueOutput
Polyphony	0	32	Value	ValueOutput
Release Polyphony	0	32	Value	ValueOutput
Key Mode	0	2	Value	ValueOutput
Portamento	0	127	Value	ValueOutput
Portamento Mode	0	2	Value	ValueOutput
Note On Indicator	0	1	-	ValueOutput
Note Trigger MIDI	0	1	Toggle	ValueOutput
Note Trigger Step Seq	0	1	Toggle	ValueOutput
Rotary 1	0	127	Value	ValueOutput
Rotary 2	0	127	Value	ValueOutput
Button 1	0	1	Toggle	ValueOutput
Button 1 MIDI Key On	0	1	Toggle	ValueOutput
Button 2	0	1	Toggle	ValueOutput
Button 2 MIDI Key On	0	1	Toggle	ValueOutput
Master Level	0	127	Value	ValueOutput
Osc 1 Type	0	6	Value	ValueOutput
Osc 1 Oct	0	9	Value	ValueOutput
Osc 1 Semi	0	12	Value	ValueOutput
Osc 1 Tune	-50	50	Value	ValueOutput
Osc 1 Kbd	0	127	Value	ValueOutput
Osc 1 Mod	0	127	Value	ValueOutput
Osc 2 Type	0	6	Value	ValueOutput
Osc 2 Oct	0	9	Value	ValueOutput
Osc 2 Semi	0	12	Value	ValueOutput
Osc 2 Tune	-50	50	Value	ValueOutput
Osc 2 Kbd	0	127	Value	ValueOutput
Osc 2 Mod	0	127	Value	ValueOutput
Osc 3 Type	0	6	Value	ValueOutput
Osc 3 Oct	0	9	Value	ValueOutput
Osc 3 Semi	0	12	Value	ValueOutput
Osc 3 Tune	-50	50	Value	ValueOutput
Osc 3 Kbd	0	127	Value	ValueOutput
Osc 3 Mod	0	127	Value	ValueOutput
Osc 1 AM From Osc 2	0	127	Value	ValueOutput
Osc 2 Sync To Osc 1	0	1	Toggle	ValueOutput
Osc 2 Sync BW	0	127	Value	ValueOutput
Osc 3 Sync To Osc 1	0	1	Toggle	ValueOutput
Osc 3 Sync BW	0	127	Value	ValueOutput
Osc 1 And 2 Level	0	127	Value	ValueOutput
Osc 1 And 2 Balance	0	127	Value	ValueOutput
Osc 3 Level	0	127	Value	ValueOutput
Osc 1 To Filter 1 Enable	0	1	Toggle	ValueOutput
Osc 2 To Filter 1 Enable	0	1	Toggle	ValueOutput
Osc 3 To Filter 1 Enable	0	1	Toggle	ValueOutput
Osc 1 To Filter 2 Enable	0	1	Toggle	ValueOutput
Osc 2 To Filter 2 Enable	0	1	Toggle	ValueOutput
Osc 3 To Filter 2 Enable	0	1	Toggle	ValueOutput
Filter 1 Type	0	4	Value	ValueOutput
Filter 1 Env Amount	0	127	Value	ValueOutput
Filter 1 Env Invert	0	1	Toggle	ValueOutput
Filter 1 Velocity	0	127	Value	ValueOutput
Filter 1 Kbd	0	127	Value	ValueOutput
Filter 1 Drive	0	127	Value	ValueOutput
Filter 1 Self Osc	0	1	Toggle	ValueOutput
Filter 1 Freq	0	127	Value	ValueOutput
Filter 1 Res	0	127	Value	ValueOutput
Filter 2 Type	0	4	Value	ValueOutput
Filter 2 Env Amount	0	127	Value	ValueOutput
Filter 2 Env Invert	0	1	Toggle	ValueOutput
Filter 2 Velocity	0	127	Value	ValueOutput
Filter 2 Kbd	0	127	Value	ValueOutput
Filter 2 Drive	0	127	Value	ValueOutput
Filter 2 Self Osc	0	1	Toggle	ValueOutput
Filter 2 Freq	0	127	Value	ValueOutput
Filter 2 Res	0	127	Value	ValueOutput
Filter 3 Type	0	4	Value	ValueOutput
Filter 3 Global Env Amount	0	127	Value	ValueOutput
Filter 3 Global Env Invert	0	1	Toggle	ValueOutput
Filter 3 Velocity	0	127	Value	ValueOutput
Filter 3 Kbd	0	127	Value	ValueOutput
