Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.Torsion

Remotable	Min	Max	Input type	Output type
Grain 1 Sample	0	4194304	Value	ValueOutput
Grain 1 Gate	0	1	Toggle	ValueOutput
Grain 1 Rate Free	0	4194304	Value	ValueOutput
Grain 1 Rate Sync	0	30	Value	ValueOutput
Grain 1 Tempo Sync	0	1	Toggle	ValueOutput
Grain 1 Jitter	0	4194304	Value	ValueOutput
Grain 1 Rate Length Link	0	1	Toggle	ValueOutput
Grain 1 Length Scale	0	4194304	Value	ValueOutput
Grain 1 Length Free	0	4194304	Value	ValueOutput
Grain 1 Loop Gate Sync	0	1	Toggle	ValueOutput
Grain 1 Loop Position	0	4194304	Value	ValueOutput
Grain 1 Loop Size	0	4194304	Value	ValueOutput
Grain 1 Loop Enable	0	1	Toggle	ValueOutput
Grain 1 Position Pitch Link	0	1	Toggle	ValueOutput
Grain 1 Pitch	0	4194304	Value	ValueOutput
Grain 1 Direction	0	4194304	Value	ValueOutput
Grain 1 Position	0	4194304	Value	ValueOutput
Grain 1 Shape	0	4194304	Value	ValueOutput
Grain 1 Skew	0	4194304	Value	ValueOutput
Grain 1 Pan	0	4194304	Value	ValueOutput
Grain 1 Level	0	4194304	Value	ValueOutput
Grain 2 Sample	0	4194304	Value	ValueOutput
Grain 2 Gate	0	1	Toggle	ValueOutput
Grain 2 Rate Free	0	4194304	Value	ValueOutput
Grain 2 Rate Sync	0	30	Value	ValueOutput
Grain 2 Tempo Sync	0	1	Toggle	ValueOutput
Grain 2 Jitter	0	4194304	Value	ValueOutput
Grain 2 Rate Length Link	0	1	Toggle	ValueOutput
Grain 2 Length Scale	0	4194304	Value	ValueOutput
Grain 2 Length Free	0	4194304	Value	ValueOutput
Grain 2 Loop Gate Sync	0	1	Toggle	ValueOutput
Grain 2 Loop Position	0	4194304	Value	ValueOutput
Grain 2 Loop Size	0	4194304	Value	ValueOutput
Grain 2 Loop Enable	0	1	Toggle	ValueOutput
Grain 2 Position Pitch Link	0	1	Toggle	ValueOutput
Grain 2 Pitch	0	4194304	Value	ValueOutput
Grain 2 Direction	0	4194304	Value	ValueOutput
Grain 2 Position	0	4194304	Value	ValueOutput
Grain 2 Shape	0	4194304	Value	ValueOutput
Grain 2 Skew	0	4194304	Value	ValueOutput
Grain 2 Pan	0	4194304	Value	ValueOutput
Grain 2 Level	0	4194304	Value	ValueOutput
Grain 3 Sample	0	4194304	Value	ValueOutput
Grain 3 Gate	0	1	Toggle	ValueOutput
Grain 3 Rate Free	0	4194304	Value	ValueOutput
Grain 3 Rate Sync	0	30	Value	ValueOutput
Grain 3 Tempo Sync	0	1	Toggle	ValueOutput
