Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Umpf

Remotable	Min	Max	Input type	Output type
Compressor_Ratio	0	4194304	Value	ValueOutput
Compressor_Threshold	0	4194304	Value	ValueOutput
Compressor_Sidechain_On	0	1	Toggle	ValueOutput
Beat_Chop_Repeat_Chance	0	4194304	Value	ValueOutput
Beat_Chop_Reverse_Chance	0	4194304	Value	ValueOutput
Beat_Chop_Repitch_Chance	0	4194304	Value	ValueOutput
Beat_Chop_Gate_Chance	0	4194304	Value	ValueOutput
Beat_Chop_Gate_Length	0	4194304	Value	ValueOutput
Delay_Time	0	4194304	Value	ValueOutput
Delay_Synced_Time	0	12	Value	ValueOutput
Delay_Feedback	0	4194304	Value	ValueOutput
LFO_1_Rate	0	4194304	Value	ValueOutput
LFO_1_Synced_Rate	0	19	Value	ValueOutput
LFO_1_Amount_1	0	4194304	Value	ValueOutput
LFO_1_Amount_2	0	4194304	Value	ValueOutput
LFO_1_Amount_3	0	4194304	Value	ValueOutput
LFO_2_Rate	0	4194304	Value	ValueOutput
LFO_2_Synced_Rate	0	19	Value	ValueOutput
LFO_2_Amount_1	0	4194304	Value	ValueOutput
LFO_2_Amount_2	0	4194304	Value	ValueOutput
LFO_2_Amount_3	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_1	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_2	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_3	0	4194304	Value	ValueOutput
Chop_Output_Level	0	4194304	Value	ValueOutput
Delay_Output_Level	0	4194304	Value	ValueOutput
Reverb_Output_Level	0	4194304	Value	ValueOutput
Reverb_To_Compressor	0	1	Toggle	ValueOutput
Compressor_Output_Level	0	4194304	Value	ValueOutput
Clean_Output_Level	0	4194304	Value	ValueOutput
Master_Volume	0	4194304	Value	ValueOutput
Drum_1_Volume	0	4194304	Value	ValueOutput
Drum_1_Mute	0	1	Toggle	ValueOutput
Drum_1_Solo	0	1	Toggle	ValueOutput
Drum_1_To_Comp	0	1	Toggle	ValueOutput
Drum_1_To_Clean	0	1	Toggle	ValueOutput
Drum_1_Hold	0	4194304	Value	ValueOutput
Drum_1_Release	0	4194304	Value	ValueOutput
