Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.UmpfRetroBeats

Remotable	Min	Max	Input type	Output type
Delay_Time	0	4194304	Value	ValueOutput
Delay_Synced_Time	0	12	Value	ValueOutput
Delay_Feedback	0	4194304	Value	ValueOutput
Delay_Pan	0	4194304	Value	ValueOutput
Gated_Reverb_Hold	0	4194304	Value	ValueOutput
Gated_Reverb_Decay	0	4194304	Value	ValueOutput
Tape_Master_Drive	0	4194304	Value	ValueOutput
Tape_Master_Compress	0	4194304	Value	ValueOutput
Delay_Output_Level	0	4194304	Value	ValueOutput
Gated_Reverb_Output_Level	0	4194304	Value	ValueOutput
Reverb_Output_Level	0	4194304	Value	ValueOutput
Tape_Master_Mix	0	4194304	Value	ValueOutput
Master_Volume	0	4194304	Value	ValueOutput
LFO_1_Rate	0	4194304	Value	ValueOutput
LFO_1_Synced_Rate	0	19	Value	ValueOutput
LFO_1_Amount_1	0	4194304	Value	ValueOutput
LFO_1_Amount_2	0	4194304	Value	ValueOutput
LFO_1_Amount_3	0	4194304	Value	ValueOutput
LFO_2_Rate	0	4194304	Value	ValueOutput
LFO_2_Synced_Rate	0	19	Value	ValueOutput
LFO_2_Amount_1	0	4194304	Value	ValueOutput
LFO_2_Amount_2	0	4194304	Value	ValueOutput
LFO_2_Amount_3	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_1	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_2	0	4194304	Value	ValueOutput
Mod_Matrix_Amount_3	0	4194304	Value	ValueOutput
Drum_1_Volume	0	4194304	Value	ValueOutput
Drum_1_Mute	0	1	Toggle	ValueOutput
Drum_1_Solo	0	1	Toggle	ValueOutput
Drum_1_Hold	0	4194304	Value	ValueOutput
Drum_1_Release	0	4194304	Value	ValueOutput
Drum_1_Pitch	0	4194304	Value	ValueOutput
Drum_1_Delay_Amount	0	4194304	Value	ValueOutput
Drum_1_Gated_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_1_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_1_Pan	0	4194304	Value	ValueOutput
Drum_1_Filter_On	0	1	Toggle	ValueOutput
Drum_1_Hi_Cut_Freq	0	4194304	Value	ValueOutput
Drum_1_Lo_Cut_Freq	0	4194304	Value	ValueOutput
Drum_1_Insert_FX_1_On	0	1	Toggle	ValueOutput
Drum_1_Insert_FX_2_On	0	1	Toggle	ValueOutput
Drum_1_Insert_FX_3_On	0	1	Toggle	ValueOutput
Drum_1_Flanger_Speed	0	4194304	Value	ValueOutput
Drum_1_Flanger_Depth	0	4194304	Value	ValueOutput
Drum_1_Flanger_Manual	0	4194304	Value	ValueOutput
Drum_1_Flanger_Color	0	4194304	Value	ValueOutput
Drum_1_LoFi_Sample_Rate	0	4194304	Value	ValueOutput
Drum_1_LoFi_Drive	0	4194304	Value	ValueOutput
Drum_1_LoFi_Bit_Depth	0	4194304	Value	ValueOutput
Drum_2_Volume	0	4194304	Value	ValueOutput
Drum_2_Mute	0	1	Toggle	ValueOutput
Drum_2_Solo	0	1	Toggle	ValueOutput
Drum_2_Hold	0	4194304	Value	ValueOutput
Drum_2_Release	0	4194304	Value	ValueOutput
Drum_2_Pitch	0	4194304	Value	ValueOutput
Drum_2_Delay_Amount	0	4194304	Value	ValueOutput
Drum_2_Gated_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_2_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_2_Pan	0	4194304	Value	ValueOutput
Drum_2_Filter_On	0	1	Toggle	ValueOutput
Drum_2_Hi_Cut_Freq	0	4194304	Value	ValueOutput
Drum_2_Lo_Cut_Freq	0	4194304	Value	ValueOutput
Drum_2_Insert_FX_1_On	0	1	Toggle	ValueOutput
Drum_2_Insert_FX_2_On	0	1	Toggle	ValueOutput
Drum_2_Insert_FX_3_On	0	1	Toggle	ValueOutput
Drum_2_Flanger_Speed	0	4194304	Value	ValueOutput
Drum_2_Flanger_Depth	0	4194304	Value	ValueOutput
Drum_2_Flanger_Manual	0	4194304	Value	ValueOutput
Drum_2_Flanger_Color	0	4194304	Value	ValueOutput
Drum_2_LoFi_Sample_Rate	0	4194304	Value	ValueOutput
Drum_2_LoFi_Drive	0	4194304	Value	ValueOutput
Drum_2_LoFi_Bit_Depth	0	4194304	Value	ValueOutput
Drum_3_Volume	0	4194304	Value	ValueOutput
Drum_3_Mute	0	1	Toggle	ValueOutput
Drum_3_Solo	0	1	Toggle	ValueOutput
Drum_3_Hold	0	4194304	Value	ValueOutput
Drum_3_Release	0	4194304	Value	ValueOutput
Drum_3_Pitch	0	4194304	Value	ValueOutput
Drum_3_Delay_Amount	0	4194304	Value	ValueOutput
Drum_3_Gated_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_3_Reverb_Amount	0	4194304	Value	ValueOutput
