Scope
Manufacturer	Model
Blamsoft, Inc.	com.blamsoft.Viking

Remotable	Min	Max	Input type	Output type
LFO Rate	0	4194304	Value	ValueOutput
LFO Rate Synced	0	19	Value	ValueOutput
LFO Sync	0	3	Value	ValueOutput
Fine Tune	0	4194304	Value	ValueOutput
Glide Rate	0	4194304	Value	ValueOutput
Mod Wheel Source	0	5	Value	ValueOutput
Mod Wheel Destination	0	5	Value	ValueOutput
Mod Wheel Shaping	0	3	Value	ValueOutput
Mod Wheel Amount	0	4194304	Value	ValueOutput
On Source	0	5	Value	ValueOutput
On Destination	0	5	Value	ValueOutput
On Shaping	0	3	Value	ValueOutput
On Amount	0	4194304	Value	ValueOutput
OSC 1 Octave	0	5	Value	ValueOutput
OSC 1 Wave	0	4194304	Value	ValueOutput
OSC1-OSC2 Sync	0	1	Toggle	ValueOutput
OSC 2 Frequency	0	4194304	Value	ValueOutput
OSC 2 Frequency Sensitive	0	4194304	Value	ValueOutput
OSC 2 Octave	0	5	Value	ValueOutput
OSC 2 Wave	0	4194304	Value	ValueOutput
OSC 3 Frequency	0	4194304	Value	ValueOutput
OSC 3 Frequency Sensitive	0	4194304	Value	ValueOutput
OSC 3 Octave	0	5	Value	ValueOutput
OSC 3 Wave	0	4194304	Value	ValueOutput
OSC3-OSC1 FM	0	1	Toggle	ValueOutput
OSC3 KB Control	0	1	Toggle	ValueOutput
OSC3 Frequency Range	0	1	Toggle	ValueOutput
External Amount	0	4194304	Value	ValueOutput
External	0	1	Toggle	ValueOutput
Oscillator 1 Amount	0	4194304	Value	ValueOutput
Oscillator 1 On	0	1	Toggle	ValueOutput
Oscillator 2 Amount	0	4194304	Value	ValueOutput
Oscillator 2 On	0	1	Toggle	ValueOutput
Oscillator 3 Amount	0	4194304	Value	ValueOutput
Oscillator 3 On	0	1	Toggle	ValueOutput
Noise Amount	0	4194304	Value	ValueOutput
Noise On	0	1	Toggle	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Spacing	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Keyboard Control Amount	0	4194304	Value	ValueOutput
Mode	0	1	Toggle	ValueOutput
Filter Attack	0	4194304	Value	ValueOutput
Filter Decay	0	4194304	Value	ValueOutput
Filter Sustain	0	4194304	Value	ValueOutput
Filter Release	0	4194304	Value	ValueOutput
Amount to Filter	0	4194304	Value	ValueOutput
Vol Attack	0	4194304	Value	ValueOutput
Vol Decay	0	4194304	Value	ValueOutput
Vol Sustain	0	4194304	Value	ValueOutput
Vol Release	0	4194304	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
MW PGM Source	0	14	Value	ValueOutput
MW PGM Destination	0	9	Value	ValueOutput
MW PGM Shaping	0	38	Value	ValueOutput
On PGM Source	0	14	Value	ValueOutput
On PGM Destination	0	9	Value	ValueOutput
On PGM Shaping	0	38	Value	ValueOutput
Low Pass Poles	0	3	Value	ValueOutput
High Pass Poles	0	3	Value	ValueOutput
Filter Circuit	0	5	Value	ValueOutput
Noise Circuit	0	2	Value	ValueOutput
Gate Source	0	2	Value	ValueOutput
Keyboard Mode	0	3	Value	ValueOutput
OSC2 Frequency Fine	0	1	Toggle	ValueOutput
OSC3 Frequency Fine	0	1	Toggle	ValueOutput
Release	0	1	Toggle	ValueOutput
Pitch Wheel Range	0	23	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
