Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.wtfm

Remotable	Min	Max	Input type	Output type
OP-1 Operator On/Off	0	1	Toggle	ValueOutput
OP-1 Wavetable Segment	0	4194304	Value	ValueOutput
OP-1 Level	0	4194304	Value	ValueOutput
OP-1 Coarse Tune	0	4194304	Value	ValueOutput
OP-1 Fine LT Tune	0	24	Value	ValueOutput
OP-1 Decimals Tune	0	4194304	Value	ValueOutput
OP-1 Fine FL Tune	0	198	Value	ValueOutput
OP-1 Amp EG Attack	0	4194304	Value	ValueOutput
OP-1 Amp EG Hold	0	4194304	Value	ValueOutput
OP-1 Amp EG Decay	0	4194304	Value	ValueOutput
OP-1 Amp EG Sustain	0	4194304	Value	ValueOutput
OP-1 Amp EG Release	0	4194304	Value	ValueOutput
OP-1 Amp EG Amount	0	4194304	Value	ValueOutput
OP-1 Amp EG Smooth	0	4194304	Value	ValueOutput
OP-1 Amp EG LFO Depth	0	4194304	Value	ValueOutput
OP-1 Amp EG Velocity	0	4194304	Value	ValueOutput
OP-1 Amp EG Attack Curve	0	4194304	Value	ValueOutput
OP-1 Amp EG Decay Curve	0	4194304	Value	ValueOutput
OP-1 Amp EG Release Curve	0	4194304	Value	ValueOutput
OP-2 Operator On/Off	0	1	Toggle	ValueOutput
OP-2 Wavetable Segment	0	4194304	Value	ValueOutput
OP-2 Level	0	4194304	Value	ValueOutput
OP-2 Coarse Ratio	0	4194304	Value	ValueOutput
OP-2 Fine LT Ratio	0	24	Value	ValueOutput
OP-2 Decimals Ratio	0	4194304	Value	ValueOutput
OP-2 Pythagorian Ratio	0	76	Value	ValueOutput
OP-2 Fine FL Ratio	0	198	Value	ValueOutput
OP-2 Microtune Macro Ratio	0	4194304	Value	ValueOutput
OP-2 Microtune Micro Ratio	0	198	Value	ValueOutput
OP-2 Amp EG Attack	0	4194304	Value	ValueOutput
OP-2 Amp EG Hold	0	4194304	Value	ValueOutput
OP-2 Amp EG Decay	0	4194304	Value	ValueOutput
OP-2 Amp EG Sustain	0	4194304	Value	ValueOutput
OP-2 Amp EG Release	0	4194304	Value	ValueOutput
OP-2 Amp EG Amount	0	4194304	Value	ValueOutput
OP-2 Amp EG Smooth	0	4194304	Value	ValueOutput
OP-2 Amp EG LFO Depth	0	4194304	Value	ValueOutput
OP-2 Amp EG Velocity	0	4194304	Value	ValueOutput
OP-2 Amp EG Attack Curve	0	4194304	Value	ValueOutput
OP-2 Amp EG Decay Curve	0	4194304	Value	ValueOutput
OP-2 Amp EG Release Curve	0	4194304	Value	ValueOutput
OP-3 Operator On/Off	0	1	Toggle	ValueOutput
OP-3 Wavetable Segment	0	4194304	Value	ValueOutput
OP-3 Level	0	4194304	Value	ValueOutput
OP-3 Coarse Ratio	0	4194304	Value	ValueOutput
OP-3 Fine LT Ratio	0	24	Value	ValueOutput
OP-3 Decimals Ratio	0	4194304	Value	ValueOutput
OP-3 Pythagorian Ratio	0	76	Value	ValueOutput
OP-3 Fine FL Ratio	0	198	Value	ValueOutput
OP-3 Microtune Macro Ratio	0	4194304	Value	ValueOutput
OP-3 Microtune Micro Ratio	0	198	Value	ValueOutput
OP-3 Amp EG Attack	0	4194304	Value	ValueOutput
OP-3 Amp EG Hold	0	4194304	Value	ValueOutput
OP-3 Amp EG Decay	0	4194304	Value	ValueOutput
OP-3 Amp EG Sustain	0	4194304	Value	ValueOutput
OP-3 Amp EG Release	0	4194304	Value	ValueOutput
OP-3 Amp EG Amount	0	4194304	Value	ValueOutput
OP-3 Amp EG Smooth	0	4194304	Value	ValueOutput
OP-3 Amp EG LFO Depth	0	4194304	Value	ValueOutput
OP-3 Amp EG Velocity	0	4194304	Value	ValueOutput
OP-3 Amp EG Attack Curve	0	4194304	Value	ValueOutput
OP-3 Amp EG Decay Curve	0	4194304	Value	ValueOutput
OP-3 Amp EG Release Curve	0	4194304	Value	ValueOutput
OP-4 Operator On/Off	0	1	Toggle	ValueOutput
