Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Bassline

Remotable	Min	Max	Input type	Output type
MIDI Pitch	0	1	Toggle	ValueOutput
MIDI Velocity	0	1	Toggle	ValueOutput
Playback Mode	0	2	Value	ValueOutput
Octave	0	4	Value	ValueOutput
Pattern 1 OnBeat Source	0	63	Value	ValueOutput
Pattern 2 OnBeat Source	0	63	Value	ValueOutput
Pattern 3 OnBeat Source	0	63	Value	ValueOutput
Pattern 4 OnBeat Source	0	63	Value	ValueOutput
Pattern 5 OnBeat Source	0	63	Value	ValueOutput
Pattern 6 OnBeat Source	0	63	Value	ValueOutput
Pattern 7 OnBeat Source	0	63	Value	ValueOutput
Pattern 8 OnBeat Source	0	63	Value	ValueOutput
Pattern 1 OffBeat Source	0	63	Value	ValueOutput
Pattern 2 OffBeat Source	0	63	Value	ValueOutput
Pattern 3 OffBeat Source	0	63	Value	ValueOutput
Pattern 4 OffBeat Source	0	63	Value	ValueOutput
Pattern 5 OffBeat Source	0	63	Value	ValueOutput
Pattern 6 OffBeat Source	0	63	Value	ValueOutput
Pattern 7 OffBeat Source	0	63	Value	ValueOutput
Pattern 8 OffBeat Source	0	63	Value	ValueOutput
Pattern 1 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 2 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 3 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 4 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 5 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 6 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 7 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 8 OnBeat Velocity	0	4194304	Value	ValueOutput
Pattern 1 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 2 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 3 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 4 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 5 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 6 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 7 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 8 OffBeat Velocity	0	4194304	Value	ValueOutput
Pattern 1 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 2 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 3 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 4 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 5 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 6 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 7 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 8 OnBeat Note Length	0	4194304	Value	ValueOutput
Pattern 1 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 2 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 3 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 4 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 5 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 6 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 7 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 8 OffBeat Note Length	0	4194304	Value	ValueOutput
Pattern 1 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 2 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 3 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 4 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 5 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 6 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 7 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 8 OnBeat Variator Shape	0	5	Value	ValueOutput
Pattern 1 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 2 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 3 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 4 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 5 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 6 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 7 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 8 OffBeat Variator Shape	0	5	Value	ValueOutput
Pattern 1 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 2 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 3 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 4 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 5 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 6 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 7 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 8 OnBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 1 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 2 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 3 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 4 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 5 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 6 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 7 OffBeat Variator Amount	0	4194304	Value	ValueOutput
Pattern 8 OffBeat Variator Amount	0	4194304	Value	ValueOutput
