Scope
Manufacturer	Model
Retouch Control	com.retouchcontrol.Life

Remotable	Min	Max	Input type	Output type
Sequencer Steps Var1	0	32	Value	ValueOutput
Step Offset Var1	0	14	Value	ValueOutput
Sequencer Rate Var1	0	9	Value	ValueOutput
Density Var1	0	4	Value	ValueOutput
Global Trigger Probability Var1	0	4194304	Value	ValueOutput
Ch1 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch2 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch3 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch4 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch5 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch6 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch7 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch8 Trig Probability Var1	0	4194304	Value	ValueOutput
Ch1 Velocity Var1	0	4194304	Value	ValueOutput
Ch2 Velocity Var1	0	4194304	Value	ValueOutput
Ch3 Velocity Var1	0	4194304	Value	ValueOutput
Ch4 Velocity Var1	0	4194304	Value	ValueOutput
Ch5 Velocity Var1	0	4194304	Value	ValueOutput
Ch6 Velocity Var1	0	4194304	Value	ValueOutput
Ch7 Velocity Var1	0	4194304	Value	ValueOutput
Ch8 Velocity Var1	0	4194304	Value	ValueOutput
Sequencer Steps Var2	0	32	Value	ValueOutput
Step Offset Var2	0	14	Value	ValueOutput
Sequencer Rate Var2	0	9	Value	ValueOutput
Density Var2	0	4	Value	ValueOutput
Global Trigger Probability Var2	0	4194304	Value	ValueOutput
Ch1 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch2 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch3 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch4 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch5 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch6 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch7 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch8 Trig Probability Var2	0	4194304	Value	ValueOutput
Ch1 Velocity Var2	0	4194304	Value	ValueOutput
Ch2 Velocity Var2	0	4194304	Value	ValueOutput
Ch3 Velocity Var2	0	4194304	Value	ValueOutput
Ch4 Velocity Var2	0	4194304	Value	ValueOutput
Ch5 Velocity Var2	0	4194304	Value	ValueOutput
Ch6 Velocity Var2	0	4194304	Value	ValueOutput
Ch7 Velocity Var2	0	4194304	Value	ValueOutput
Ch8 Velocity Var2	0	4194304	Value	ValueOutput
Sequencer Steps Var3	0	32	Value	ValueOutput
Step Offset Var3	0	14	Value	ValueOutput
Sequencer Rate Var3	0	9	Value	ValueOutput
Density Var3	0	4	Value	ValueOutput
Global Trigger Probability Var3	0	4194304	Value	ValueOutput
Ch1 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch2 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch3 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch4 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch5 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch6 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch7 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch8 Trig Probability Var3	0	4194304	Value	ValueOutput
Ch1 Velocity Var3	0	4194304	Value	ValueOutput
Ch2 Velocity Var3	0	4194304	Value	ValueOutput
Ch3 Velocity Var3	0	4194304	Value	ValueOutput
Ch4 Velocity Var3	0	4194304	Value	ValueOutput
Ch5 Velocity Var3	0	4194304	Value	ValueOutput
Ch6 Velocity Var3	0	4194304	Value	ValueOutput
Ch7 Velocity Var3	0	4194304	Value	ValueOutput
Ch8 Velocity Var3	0	4194304	Value	ValueOutput
Sequencer Steps Var4	0	32	Value	ValueOutput
Step Offset Var4	0	14	Value	ValueOutput
Sequencer Rate Var4	0	9	Value	ValueOutput
Density Var4	0	4	Value	ValueOutput
Global Trigger Probability Var4	0	4194304	Value	ValueOutput
Ch1 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch2 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch3 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch4 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch5 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch6 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch7 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch8 Trig Probability Var4	0	4194304	Value	ValueOutput
Ch1 Velocity Var4	0	4194304	Value	ValueOutput
Ch2 Velocity Var4	0	4194304	Value	ValueOutput
Ch3 Velocity Var4	0	4194304	Value	ValueOutput
Ch4 Velocity Var4	0	4194304	Value	ValueOutput
Ch5 Velocity Var4	0	4194304	Value	ValueOutput
Ch6 Velocity Var4	0	4194304	Value	ValueOutput
Ch7 Velocity Var4	0	4194304	Value	ValueOutput
Ch8 Velocity Var4	0	4194304	Value	ValueOutput
Sequencer Steps Var5	0	32	Value	ValueOutput
Step Offset Var5	0	14	Value	ValueOutput
Sequencer Rate Var5	0	9	Value	ValueOutput
Density Var5	0	4	Value	ValueOutput
Global Trigger Probability Var5	0	4194304	Value	ValueOutput
Ch1 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch2 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch3 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch4 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch5 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch6 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch7 Trig Probability Var5	0	4194304	Value	ValueOutput
Ch8 Trig Probability Var5	0	4194304	Value	ValueOutput
