Scope
Manufacturer	Model
LoveOne	se.loveone.MIDICVConverter

Remotable	Min	Max	Input type	Output type
On/Off	0	1	Toggle	ValueOutput
Direct MIDI Input	0	1	Toggle	ValueOutput
Output 1 Enabled	0	1	Toggle	ValueOutput
Output 2 Enabled	0	1	Toggle	ValueOutput
Output 3 Enabled	0	1	Toggle	ValueOutput
Output 4 Enabled	0	1	Toggle	ValueOutput
Output 5 Enabled	0	1	Toggle	ValueOutput
Output 6 Enabled	0	1	Toggle	ValueOutput
Output 7 Enabled	0	1	Toggle	ValueOutput
Output 8 Enabled	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
