Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.RND_2

Remotable	Min	Max	Input type	Output type
Pulse 1 Enabled	0	1	Toggle	ValueOutput
Pulse 1 Step	0	127	Value	ValueOutput
Pulse 1 Length	0	127	Value	ValueOutput
Pulse 1 Probability	0	99	Value	ValueOutput
Pulse 1 Clock Mul	0	127	Value	ValueOutput
Pulse 1 Clock Div	0	127	Value	ValueOutput
Pulse 1 Note	0	127	Value	ValueOutput
Pulse 1 Note Mode	0	5	Value	ValueOutput
Pulse 1 Note Choices	0	127	Value	ValueOutput
Pulse 1 Note Scale	0	126	Value	ValueOutput
Pulse 1 Note Offset	0	254	Value	ValueOutput
Pulse 1 Velocity	0	127	Value	ValueOutput
Pulse 1 Velocity Mode	0	5	Value	ValueOutput
Pulse 1 Velocity Choices	0	127	Value	ValueOutput
Pulse 1 Velocity Scale	0	126	Value	ValueOutput
Pulse 1 Velocity Offset	0	254	Value	ValueOutput
Pulse 1 Note Length	0	399	Value	ValueOutput
Pulse 1 Note Length Mode	0	5	Value	ValueOutput
Pulse 1 Note Length Choices	0	199	Value	ValueOutput
Pulse 1 Note Length Scale	0	199	Value	ValueOutput
Pulse 1 Note Length Offset	0	400	Value	ValueOutput
Pulse 2 Enabled	0	1	Toggle	ValueOutput
Pulse 2 Step	0	127	Value	ValueOutput
Pulse 2 Length	0	127	Value	ValueOutput
Pulse 2 Probability	0	99	Value	ValueOutput
Pulse 2 Clock Mul	0	127	Value	ValueOutput
Pulse 2 Clock Div	0	127	Value	ValueOutput
Pulse 2 Note	0	127	Value	ValueOutput
Pulse 2 Note Mode	0	5	Value	ValueOutput
Pulse 2 Note Choices	0	127	Value	ValueOutput
Pulse 2 Note Scale	0	126	Value	ValueOutput
Pulse 2 Note Offset	0	254	Value	ValueOutput
Pulse 2 Velocity	0	127	Value	ValueOutput
Pulse 2 Velocity Mode	0	5	Value	ValueOutput
Pulse 2 Velocity Choices	0	127	Value	ValueOutput
Pulse 2 Velocity Scale	0	126	Value	ValueOutput
Pulse 2 Velocity Offset	0	254	Value	ValueOutput
Pulse 2 Note Length	0	399	Value	ValueOutput
Pulse 2 Note Length Mode	0	5	Value	ValueOutput
Pulse 2 Note Length Choices	0	199	Value	ValueOutput
Pulse 2 Note Length Scale	0	199	Value	ValueOutput
