Scope
Manufacturer	Model
Tonicmint	com.tonicmint.CVMulti

Remotable	Min	Max	Input type	Output type
Mixing Mode	0	4194304	Value	ValueOutput
Clipping	0	1	Toggle	ValueOutput
Clipping Mode	0	4194304	Value	ValueOutput
CV In 1 enabled	0	1	Toggle	ValueOutput
CV Out 1 enabled	0	1	Toggle	ValueOutput
CV In 2 enabled	0	1	Toggle	ValueOutput
CV Out 2 enabled	0	1	Toggle	ValueOutput
CV In 3 enabled	0	1	Toggle	ValueOutput
CV Out 3 enabled	0	1	Toggle	ValueOutput
CV In 4 enabled	0	1	Toggle	ValueOutput
CV Out 4 enabled	0	1	Toggle	ValueOutput
CV In 5 enabled	0	1	Toggle	ValueOutput
CV Out 5 enabled	0	1	Toggle	ValueOutput
CV In 6 enabled	0	1	Toggle	ValueOutput
CV Out 6 enabled	0	1	Toggle	ValueOutput
CV In 7 enabled	0	1	Toggle	ValueOutput
CV Out 7 enabled	0	1	Toggle	ValueOutput
CV In 8 enabled	0	1	Toggle	ValueOutput
CV Out 8 enabled	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
